key,country_key,date_key,education_key,health_key,quality_of_life_key,event_key,avg_births,avg_deaths,HDI
1566,1,103,24,24,24,260,3947817.0,2593448.0,0.918
1567,1,103,24,24,24,267,3947817.0,2593448.0,0.918
1568,1,103,24,24,24,275,3947817.0,2593448.0,0.918
1569,3,103,56,56,56,874,24861673.0,9283073.0,0.604
1570,3,103,56,56,56,901,24861673.0,9283073.0,0.604
1571,3,103,56,56,56,907,24861673.0,9283073.0,0.604
1572,3,103,56,56,56,2349,24861673.0,9283073.0,0.604
1573,3,103,56,56,56,2350,24861673.0,9283073.0,0.604
1574,3,103,56,56,56,2351,24861673.0,9283073.0,0.604
1575,4,103,72,72,72,1618,17606393.0,9719889.000000002,0.724
1576,4,103,72,72,72,1620,17606393.0,9719889.000000002,0.724
1577,4,103,72,72,72,1635,17606393.0,9719889.000000002,0.724
1578,4,103,72,72,72,1636,17606393.0,9719889.000000002,0.724
1579,4,103,72,72,72,1637,17606393.0,9719889.000000002,0.724
1580,4,103,72,72,72,1641,17606393.0,9719889.000000002,0.724
1581,4,103,72,72,72,1642,17606393.0,9719889.000000002,0.724
1582,4,103,72,72,72,1643,17606393.0,9719889.000000002,0.724
1583,4,103,72,72,72,1644,17606393.0,9719889.000000002,0.724
1584,4,103,72,72,72,1664,17606393.0,9719889.000000002,0.724
1585,1,104,24,24,24,220,3947817.0,2593448.0,0.918
1586,1,104,24,24,24,261,3947817.0,2593448.0,0.918
1587,1,104,24,24,24,269,3947817.0,2593448.0,0.918
1588,2,104,40,40,40,547,2280459.0,661526.0000000001,0.756
1589,2,104,40,40,40,557,2280459.0,661526.0000000001,0.756
1590,3,104,56,56,56,875,24861673.0,9283073.0,0.604
1591,3,104,56,56,56,902,24861673.0,9283073.0,0.604
1592,3,104,56,56,56,2352,24861673.0,9283073.0,0.604
1593,3,104,56,56,56,2353,24861673.0,9283073.0,0.604
1594,3,104,56,56,56,2354,24861673.0,9283073.0,0.604
1595,4,104,72,72,72,1619,17606393.0,9719889.000000002,0.724
1596,4,104,72,72,72,1621,17606393.0,9719889.000000002,0.724
1597,4,104,72,72,72,1623,17606393.0,9719889.000000002,0.724
1598,4,104,72,72,72,1624,17606393.0,9719889.000000002,0.724
1599,4,104,72,72,72,1625,17606393.0,9719889.000000002,0.724
1600,4,104,72,72,72,1637,17606393.0,9719889.000000002,0.724
1601,4,104,72,72,72,1638,17606393.0,9719889.000000002,0.724
1602,4,104,72,72,72,1655,17606393.0,9719889.000000002,0.724
1603,4,104,72,72,72,1664,17606393.0,9719889.000000002,0.724
1604,1,105,24,24,24,248,3947817.0,2593448.0,0.918
1605,1,105,24,24,24,269,3947817.0,2593448.0,0.918
1606,1,105,24,24,24,270,3947817.0,2593448.0,0.918
1607,2,105,40,40,40,548,2280459.0,661526.0000000001,0.756
1608,2,105,40,40,40,549,2280459.0,661526.0000000001,0.756
1609,2,105,40,40,40,550,2280459.0,661526.0000000001,0.756
1610,3,105,56,56,56,908,24861673.0,9283073.0,0.604
1611,3,105,56,56,56,2355,24861673.0,9283073.0,0.604
1612,3,105,56,56,56,2356,24861673.0,9283073.0,0.604
1613,3,105,56,56,56,2357,24861673.0,9283073.0,0.604
1614,3,105,56,56,56,2358,24861673.0,9283073.0,0.604
1615,4,105,72,72,72,1621,17606393.0,9719889.000000002,0.724
1616,4,105,72,72,72,1639,17606393.0,9719889.000000002,0.724
1617,4,105,72,72,72,1645,17606393.0,9719889.000000002,0.724
1618,4,105,72,72,72,1646,17606393.0,9719889.000000002,0.724
1619,7,105,118,120,120,2140,2971718.0,1235745.0,0.753
1620,1,106,24,24,24,264,3947817.0,2593448.0,0.918
1621,2,106,40,40,40,552,2280459.0,661526.0000000001,0.756
1622,2,106,40,40,40,554,2280459.0,661526.0000000001,0.756
1623,3,106,56,56,56,868,24861673.0,9283073.0,0.604
1624,3,106,56,56,56,871,24861673.0,9283073.0,0.604
1625,3,106,56,56,56,876,24861673.0,9283073.0,0.604
1626,3,106,56,56,56,899,24861673.0,9283073.0,0.604
1627,3,106,56,56,56,905,24861673.0,9283073.0,0.604
1628,3,106,56,56,56,2359,24861673.0,9283073.0,0.604
1629,3,106,56,56,56,2360,24861673.0,9283073.0,0.604
1630,3,106,56,56,56,2361,24861673.0,9283073.0,0.604
1631,3,106,56,56,56,2362,24861673.0,9283073.0,0.604
1632,3,106,56,56,56,2363,24861673.0,9283073.0,0.604
1633,4,106,72,72,72,1616,17606393.0,9719889.000000002,0.724
1634,4,106,72,72,72,2479,17606393.0,9719889.000000002,0.724
1635,5,106,88,88,88,2521,1269251.0,284413.0,0.494
1636,5,106,88,88,88,2522,1269251.0,284413.0,0.494
1637,1,107,24,24,24,251,3947817.0,2593448.0,0.918
1638,1,107,24,24,24,253,3947817.0,2593448.0,0.918
1639,1,107,24,24,24,264,3947817.0,2593448.0,0.918
1640,3,107,56,56,56,870,24861673.0,9283073.0,0.604
1641,3,107,56,56,56,898,24861673.0,9283073.0,0.604
1642,3,107,56,56,56,2364,24861673.0,9283073.0,0.604
1643,3,107,56,56,56,2365,24861673.0,9283073.0,0.604
1644,3,107,56,56,56,2366,24861673.0,9283073.0,0.604
1645,3,107,56,56,56,2367,24861673.0,9283073.0,0.604
1646,3,107,56,56,56,2368,24861673.0,9283073.0,0.604
1647,3,107,56,56,56,2369,24861673.0,9283073.0,0.604
1648,3,107,56,56,56,2370,24861673.0,9283073.0,0.604
1649,3,107,56,56,56,2371,24861673.0,9283073.0,0.604
1650,3,107,56,56,56,2372,24861673.0,9283073.0,0.604
1651,4,107,72,72,72,1631,17606393.0,9719889.000000002,0.724
1652,4,107,72,72,72,1647,17606393.0,9719889.000000002,0.724
1653,4,107,72,72,72,1652,17606393.0,9719889.000000002,0.724
1654,4,107,72,72,72,1653,17606393.0,9719889.000000002,0.724
1655,4,107,72,72,72,2480,17606393.0,9719889.000000002,0.724
1656,5,107,88,88,88,2523,1269251.0,284413.0,0.494
1657,6,107,102,104,104,2574,3037699.0,854590.0,0.579
1658,7,108,119,121,121,2143,2966854.0000000005,1256073.9999999998,0.756
1659,0,109,9,9,9,36,385216.0,264522.0,0.918
1660,0,109,9,9,9,37,385216.0,264522.0,0.918
1661,1,109,25,25,25,286,3918023.0,2639460.0,0.92
1662,1,109,25,25,25,287,3918023.0,2639460.0,0.92
1663,1,109,25,25,25,293,3918023.0,2639460.0,0.92
1664,1,109,25,25,25,296,3918023.0,2639460.0,0.92
1665,3,109,57,57,57,915,24599886.000000004,9342487.0,0.616
1666,3,109,57,57,57,925,24599886.000000004,9342487.0,0.616
1667,3,109,57,57,57,928,24599886.000000004,9342487.0,0.616
1668,3,109,57,57,57,935,24599886.000000004,9342487.0,0.616
1669,3,109,57,57,57,937,24599886.000000004,9342487.0,0.616
1670,3,109,57,57,57,2374,24599886.000000004,9342487.0,0.616
1671,3,109,57,57,57,2375,24599886.000000004,9342487.0,0.616
1672,4,109,73,73,73,1708,17555088.0,9790778.0,0.731
1673,4,109,73,73,73,1710,17555088.0,9790778.0,0.731
1674,4,109,73,73,73,1712,17555088.0,9790778.0,0.731
1675,4,109,73,73,73,2481,17555088.0,9790778.0,0.731
1676,5,109,89,89,89,2524,1283402.0,286705.0,0.499
1677,6,109,103,105,105,2576,3015382.0,860311.0,0.579
1678,7,109,119,121,121,2143,2966854.0000000005,1256073.9999999998,0.756
1679,7,109,119,121,121,2144,2966854.0000000005,1256073.9999999998,0.756
1680,1,110,25,25,25,284,3918023.0,2639460.0,0.92
1681,1,110,25,25,25,285,3918023.0,2639460.0,0.92
1682,1,110,25,25,25,288,3918023.0,2639460.0,0.92
1683,3,110,57,57,57,2376,24599886.000000004,9342487.0,0.616
1684,3,110,57,57,57,2377,24599886.000000004,9342487.0,0.616
1685,4,110,73,73,73,1679,17555088.0,9790778.0,0.731
1686,4,110,73,73,73,1687,17555088.0,9790778.0,0.731
1687,4,110,73,73,73,2482,17555088.0,9790778.0,0.731
1688,5,110,89,89,89,2525,1283402.0,286705.0,0.499
1689,5,110,89,89,89,2526,1283402.0,286705.0,0.499
1690,5,110,89,89,89,2527,1283402.0,286705.0,0.499
1691,6,110,103,105,105,2021,3015382.0,860311.0,0.579
1692,6,110,103,105,105,2577,3015382.0,860311.0,0.579
1693,1,111,25,25,25,288,3918023.0,2639460.0,0.92
1694,1,111,25,25,25,291,3918023.0,2639460.0,0.92
1695,3,111,57,57,57,909,24599886.000000004,9342487.0,0.616
1696,3,111,57,57,57,910,24599886.000000004,9342487.0,0.616
1697,3,111,57,57,57,2378,24599886.000000004,9342487.0,0.616
1698,3,111,57,57,57,2379,24599886.000000004,9342487.0,0.616
1699,4,111,73,73,73,1668,17555088.0,9790778.0,0.731
1700,4,111,73,73,73,1685,17555088.0,9790778.0,0.731
1701,5,111,89,89,89,2528,1283402.0,286705.0,0.499
1702,1,112,25,25,25,278,3918023.0,2639460.0,0.92
1703,1,112,25,25,25,295,3918023.0,2639460.0,0.92
1704,1,112,25,25,25,297,3918023.0,2639460.0,0.92
1705,2,112,41,41,41,564,2272826.0,681794.0,0.761
1706,3,112,57,57,57,923,24599886.000000004,9342487.0,0.616
1707,3,112,57,57,57,2380,24599886.000000004,9342487.0,0.616
1708,3,112,57,57,57,2381,24599886.000000004,9342487.0,0.616
1709,3,112,57,57,57,2382,24599886.000000004,9342487.0,0.616
1710,3,112,57,57,57,2383,24599886.000000004,9342487.0,0.616
1711,3,112,57,57,57,2384,24599886.000000004,9342487.0,0.616
1712,3,112,57,57,57,2385,24599886.000000004,9342487.0,0.616
1713,4,112,73,73,73,1668,17555088.0,9790778.0,0.731
1714,4,112,73,73,73,1669,17555088.0,9790778.0,0.731
1715,4,112,73,73,73,1680,17555088.0,9790778.0,0.731
1716,4,112,73,73,73,1683,17555088.0,9790778.0,0.731
1717,4,112,73,73,73,1688,17555088.0,9790778.0,0.731
1718,4,112,73,73,73,1706,17555088.0,9790778.0,0.731
1719,6,112,103,105,105,2019,3015382.0,860311.0,0.579
1720,1,113,25,25,25,278,3918023.0,2639460.0,0.92
1721,1,113,25,25,25,282,3918023.0,2639460.0,0.92
1722,1,113,25,25,25,294,3918023.0,2639460.0,0.92
1723,1,113,25,25,25,2207,3918023.0,2639460.0,0.92
1724,2,113,41,41,41,558,2272826.0,681794.0,0.761
1725,3,113,57,57,57,918,24599886.000000004,9342487.0,0.616
1726,3,113,57,57,57,929,24599886.000000004,9342487.0,0.616
1727,3,113,57,57,57,930,24599886.000000004,9342487.0,0.616
1728,3,113,57,57,57,2386,24599886.000000004,9342487.0,0.616
1729,3,113,57,57,57,2387,24599886.000000004,9342487.0,0.616
1730,3,113,57,57,57,2388,24599886.000000004,9342487.0,0.616
1731,3,113,57,57,57,2389,24599886.000000004,9342487.0,0.616
1732,3,113,57,57,57,2390,24599886.000000004,9342487.0,0.616
1733,4,113,73,73,73,1689,17555088.0,9790778.0,0.731
1734,4,113,73,73,73,1690,17555088.0,9790778.0,0.731
1735,4,113,73,73,73,1694,17555088.0,9790778.0,0.731
1736,4,113,73,73,73,1698,17555088.0,9790778.0,0.731
1737,4,113,73,73,73,2483,17555088.0,9790778.0,0.731
1738,6,113,103,105,105,2022,3015382.0,860311.0,0.579
1739,6,113,103,105,105,2578,3015382.0,860311.0,0.579
1740,7,113,119,121,121,2147,2966854.0000000005,1256073.9999999998,0.756
1741,1,114,25,25,25,283,3918023.0,2639460.0,0.92
1742,2,114,41,41,41,558,2272826.0,681794.0,0.761
