key,female_life_expectancy,male_life_expectancy,total_life_expectancy,net_Migration,population_growth,female_population,male_population,total_population,rural_population_percentage,rural_population_growth,urban_population_percentage,urban_population_growth
37,77.979,72.135,75.065,-428293.6666666667,1.438140669,51.06991394,48.93008606,114092961.0,25311523.0,0.117173388,88781438.0,1.817966315
38,77.952,72.056,75.011,-428293.6666666667,1.39478997,51.0703185,48.9296815,115695468.0,25324581.0,0.051575849,90370887.0,1.774457245
39,77.922,71.997,74.966,-422477.0,1.355294426,51.07590116,48.92409884,117274156.0,25325354.0,0.003052324,91948802.0,1.730975308
40,77.89,71.958,74.93,-428293.6666666667,1.315557607,51.0841907,48.9158093,118827158.0,25311373.0,-0.05522079,93515785.0,1.689832343
41,77.86,71.943,74.908,-428293.6666666667,1.277686366,51.09154834,48.90845166,120355137.0,25283004.0,-0.112142909,95072133.0,1.650565264
42,77.837,71.954,74.904,-428293.6666666667,1.241164502,51.09549783,48.90450217,121858251.0,25242937.0,-0.158599751,96615314.0,1.610136046
43,77.826,71.99,74.917,-428293.6666666667,1.203259506,51.09567297,48.90432703,123333379.0,25188376.0,-0.216377556,98145003.0,1.570874888
44,77.827,72.046,74.947,-300000.0,1.16396695,51.09327555,48.90672445,124777326.0,25121419.0,-0.26617894,99655907.0,1.527731482
45,77.844,72.118,74.992,-428293.6666666667,1.126414791,51.08928083,48.91071917,126190782.0,25041299.0,-0.319440697,101149483.0,1.487613001
46,77.879,72.203,75.054,-428293.6666666667,1.091366887,51.08513875,48.91486125,127575529.0,24948670.0,-0.370590772,102626859.0,1.450022972
47,77.84259999999999,72.0622,74.96279999999999,-428293.6666666667,1.058240034,51.08187444,48.91812556,128932753.0,24844052.0,-0.420214641,104088701.0,1.414374776
48,65.357,63.689,64.5,-2556451.0,1.579709143,47.97428982,52.02571018,1147609924.0,812106163.0,1.111647767,335503761.0,2.721831742
49,65.793,64.091,64.918,-2556451.0,1.545696439,47.97137644,52.02862356,1165486291.0,820863650.0,1.072594348,344622641.0,2.681685772
50,66.253,64.499,65.35,-2655844.0,1.509221986,47.96952399,52.03047601,1183209471.0,829358847.0,1.029591108,353850624.0,2.642483378
51,66.735,64.91,65.794,-2556451.0,1.464889915,47.96895843,52.03104157,1200669762.0,837515186.0,0.978646729,363154576.0,2.595371485
52,67.231,65.32,66.244,-2556451.0,1.410582714,47.96994865,52.03005135,1217726217.0,845260299.0,0.920523,372465918.0,2.531696551
53,67.73,65.723,66.693,-2556451.0,1.350338314,47.97261756,52.02738244,1234281163.0,852517999.0,0.854969606,381763164.0,2.465488847
54,68.218,66.115,67.13,-2556451.0,1.288512962,47.97705611,52.02294389,1250287939.0,859247883.0,0.786312982,391040056.0,2.400957295
55,68.68,66.488,67.545,-2350075.0,1.231484894,47.98304408,52.01695592,1265780243.0,865363321.0,0.709199107,400416922.0,2.369630953
56,69.106,66.84,67.931,-2556451.0,1.182904215,47.99002538,52.00997462,1280842119.0,870934216.0,0.6417004,409907903.0,2.342619835
