Event_key,country,start_year,start_month,start_day,end_year,end_month,end_day,event_type,total_affected,total_deaths
71,Bangladesh,2015,12,25,2015,12,25,Bombing/Explosion,3.0,1.0
72,Bangladesh,2016,1.0,3.0,2016,1.0,3.0,Earthquake,70.0,5.0
73,Bangladesh,2016,5.0,13.0,2016,5.0,15.0,Storm,59.0,59.0
74,Bangladesh,2016,7,1,2016,7,1,Hostage Taking (Barricade Incident),30.0,28.0
75,Bangladesh,2016,8.0,13.0,2016,8.0,13.0,Transport accident,17.0,17.0
76,Bangladesh,2016,9.0,10.0,2016,9.0,10.0,Industrial accident,70.0,43.0
77,Bangladesh,2016,10,4,2016,10,4,Bombing/Explosion,1.0,1.0
78,Bangladesh,2017,3,24,2017,3,24,Bombing/Explosion,3.0,1.0
79,Bangladesh,2017,5.0,30.0,2017,5.0,30.0,Storm,3300012.0,7.0
80,Bangladesh,2017,6.0,12.0,2017,6.0,14.0,Landslide,80187.0,160.0
81,Bangladesh,2017,7.0,3.0,2017,7.0,3.0,Industrial accident,13.0,13.0
82,Bangladesh,2017,8.0,10.0,2017,8.0,31.0,Flood,8000000.0,144.0
83,Bangladesh,2017,9.0,28.0,2017,9.0,28.0,Transport accident,63.0,63.0
84,Bangladesh,2017,10.0,16.0,2017,10.0,16.0,Transport accident,30.0,30.0
85,Bangladesh,2017,12.0,18.0,2017,12.0,18.0,Miscellaneous accident,15.0,10.0
86,Bangladesh,2018,1.0,1.0,2018,1.0,10.0,Extreme temperature,34.0,34.0
87,Bangladesh,2018,4.0,29.0,2018,4.0,30.0,Storm,33.0,33.0
88,Bangladesh,2018,5,4,2018,5,4,Assassination,6.0,5.0
89,Bangladesh,2018,6.0,5.0,2018,6.0,14.0,Flood,14.0,14.0
90,Bangladesh,2019,2.0,17.0,2019,2.0,17.0,Miscellaneous accident,2350.0,9.0
91,Bangladesh,2019,3,18,2019,3,18,Armed Assault,23.0,8.0
92,Bangladesh,2019,5.0,4.0,2019,5.0,4.0,Storm,10045.0,39.0
93,Bangladesh,2019,6.0,24.0,2019,6.0,24.0,Transport accident,100.0,4.0
94,Bangladesh,2019,7.0,2.0,2019,7.0,8.0,Landslide,18016.0,2.0
95,Bangladesh,2019,8.0,27.0,2019,8.0,27.0,Miscellaneous accident,10000.0,0.0
96,Bangladesh,2019,11.0,12.0,2019,11.0,12.0,Transport accident,58.0,16.0
97,Bangladesh,2019,12.0,15.0,2019,12.0,15.0,Industrial accident,10.0,10.0
98,Bangladesh,2020,2.0,10.0,2020,2.0,10.0,Transport accident,20.0,15.0
99,Bangladesh,2020,5.0,20.0,2020,5.0,20.0,Storm,2600000.0,26.0
100,Bangladesh,2020,6.0,29.0,2020,6.0,29.0,Transport accident,50.0,50.0
101,Bangladesh,2020,9.0,6.0,2020,9.0,6.0,Miscellaneous accident,13.0,24.0
102,Brazil,2005,1.0,3.0,2005,1.0,3.0,Storm,344.0,2.0
103,Brazil,2005,5.0,14.0,2005,5.0,14.0,Miscellaneous accident,600.0,0.0
104,Brazil,2005,6.0,2.0,2005,6.0,2.0,Transport accident,17.0,17.0
105,Brazil,2005,9.0,29.0,2005,9.0,29.0,Transport accident,42.0,20.0
106,Brazil,2006,1.0,22.0,2006,1.0,23.0,Transport accident,33.0,33.0
107,Brazil,2006,4.0,1.0,2006,4.0,1.0,Transport accident,19.0,19.0
108,Brazil,2006,9.0,29.0,2006,9.0,29.0,Transport accident,155.0,155.0
109,Brazil,2007,1.0,10.0,2007,1.0,10.0,Landslide,5000.0,0.0
110,Brazil,2007,7.0,17.0,2007,7.0,17.0,Transport accident,17.0,199.0
111,Brazil,2007,9.0,24.0,2007,9.0,30.0,Flood,4000.0,4.0
112,Brazil,2007,10.0,24.0,2007,10.0,27.0,Flood,2272.0,6.0
113,Brazil,2007,12.0,9.0,2007,12.0,9.0,Earthquake,286.0,1.0
114,Brazil,2008,1.0,12.0,2008,1.0,16.0,Flood,49506.0,4.0
115,Brazil,2008,2.0,20.0,2008,2.0,21.0,Transport accident,16.0,16.0
116,Brazil,2008,3.0,30.0,2008,4.0,4.0,Flood,190000.0,36.0
117,Brazil,2008,5.0,4.0,2008,5.0,4.0,Transport accident,70.0,45.0
118,Brazil,2008,7.0,11.0,2008,7.0,11.0,Transport accident,16.0,16.0
119,Brazil,2008,8.0,20.0,2008,8.0,20.0,Transport accident,19.0,14.0
120,Brazil,2008,11.0,22.0,2008,11.0,24.0,Flood,1500015.0,151.0
121,Brazil,2009,1.0,18.0,2009,1.0,18.0,Miscellaneous accident,100.0,9.0
122,Brazil,2009,2.0,7.0,2009,2.0,7.0,Transport accident,4.0,24.0
123,Brazil,2009,5.0,22.0,2009,5.0,22.0,Transport accident,14.0,14.0
124,Brazil,2009,6.0,1.0,2009,6.0,1.0,Transport accident,228.0,228.0
125,Brazil,2009,9.0,9.0,2009,9.0,9.0,Storm,2364.0,4.0
126,Brazil,2009,11.0,2.0,2009,11.0,2.0,Flood,680000.0,0.0
127,Brazil,2010,1.0,8.0,2010,1.0,8.0,Transport accident,13.0,13.0
128,Brazil,2010,4.0,4.0,2010,4.0,12.0,Flood,74938.0,256.0
129,Brazil,2010,6.0,19.0,2010,6.0,23.0,Flood,157000.0,72.0
130,Brazil,2010,9.0,14.0,2010,9.0,14.0,Transport accident,6.0,11.0
131,Brazil,2010,10.0,17.0,2010,10.0,17.0,Transport accident,23.0,11.0
132,Brazil,2011,1.0,11.0,2011,1.0,12.0,Flood,45000.0,900.0
133,Brazil,2011,2.0,28.0,2011,2.0,28.0,Miscellaneous accident,16.0,16.0
