disaster_key,country,start_year,start_month,start_day,end_year,end_month,end_day,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,total_affected,total_disaster_deaths
2019-0171-CAN,Canada,2019,4.0,27.0,2019,5.0,5.0,Natural,Hydrological,Flood,None,19500.0,1.0
2019-0532-CAN,Canada,2019,10.0,31.0,2019,11.0,2.0,Natural,Meteorological,Storm,Convective storm,1.0,1.0
2020-0266-CAN,Canada,2020,6.0,13.0,2020,6.0,14.0,Natural,Meteorological,Storm,Convective storm,60000.0,0.0
2020-0191-CAN,Canada,2020,4.0,26.0,2020,4.0,30.0,Natural,Hydrological,Flood,Riverine flood,12936.0,1.0
2005-0103-USA,United States of America (the),2005,2.0,17.0,2005,2.0,23.0,Natural,Hydrological,Flood,Riverine flood,150.0,9.0
2005-0015-USA,United States of America (the),2005,1.0,7.0,2005,1.0,11.0,Natural,Hydrological,Flood,Riverine flood,508.0,28.0
2005-0029-USA,United States of America (the),2005,1.0,22.0,2005,1.0,24.0,Natural,Meteorological,Storm,Convective storm,20.0,20.0
2005-0009-USA,United States of America (the),2005,1.0,7.0,2005,1.0,7.0,Technological,Technological,Transport accident,Rail,950.0,9.0
2005-0052-USA,United States of America (the),2005,1.0,26.0,2005,1.0,26.0,Technological,Technological,Transport accident,Rail,180.0,11.0
2005-0148-USA,United States of America (the),2005,3.0,23.0,2005,3.0,23.0,Technological,Technological,Industrial accident,Explosion,170.0,15.0
2005-0467-USA,United States of America (the),2005,8.0,29.0,2005,9.0,19.0,Natural,Meteorological,Storm,Tropical cyclone,500000.0,1833.0
2005-0716-USA,United States of America (the),2005,12.0,31.0,2006,1.0,18.0,Natural,Hydrological,Flood,Riverine flood,3600.0,3.0
2005-0585-USA,United States of America (the),2005,10.0,24.0,2005,10.0,24.0,Natural,Meteorological,Storm,Tropical cyclone,30000.0,4.0
2005-0286-USA,United States of America (the),2005,5.0,6.0,2005,5.0,8.0,Natural,Hydrological,Flood,Flash flood,0.0,0.0
2005-0583-USA,United States of America (the),2005,10.0,8.0,2005,10.0,16.0,Natural,Hydrological,Flood,Riverine flood,3000.0,11.0
2005-0219-USA,United States of America (the),2005,4.0,6.0,2005,4.0,8.0,Natural,Meteorological,Storm,Convective storm,104.0,0.0
2005-0547-USA,United States of America (the),2005,9.0,23.0,2005,10.0,1.0,Natural,Meteorological,Storm,Tropical cyclone,300000.0,10.0
2005-0530-USA,United States of America (the),2005,8.0,18.0,2005,8.0,18.0,Natural,Meteorological,Storm,Convective storm,201.0,0.0
2005-0682-USA,United States of America (the),2005,12.0,8.0,2005,12.0,9.0,Natural,Meteorological,Storm,Convective storm,10.0,10.0
2005-0203-USA,United States of America (the),2005,4.0,1.0,2005,4.0,6.0,Natural,Hydrological,Flood,Riverine flood,11000.0,2.0
2005-0351-USA,United States of America (the),2005,7.0,10.0,2005,7.0,10.0,Natural,Meteorological,Storm,Tropical cyclone,5.0,5.0
2005-0687-USA,United States of America (the),2005,7.0,4.0,2005,7.0,30.0,Natural,Meteorological,Extreme temperature,Heat wave,31.0,33.0
2005-0724-USA,United States of America (the),2005,12.0,27.0,2006,1.0,4.0,Natural,Climatological,Wildfire,Forest fire,1410.0,5.0
2005-0700-USA,United States of America (the),2005,12.0,19.0,2005,12.0,19.0,Technological,Technological,Transport accident,Air,19.0,19.0
2005-0546-USA,United States of America (the),2005,9.0,23.0,2005,9.0,23.0,Technological,Technological,Transport accident,Road,17.0,24.0
2005-0562-USA,United States of America (the),2005,10.0,2.0,2005,10.0,2.0,Technological,Technological,Transport accident,Water,28.0,21.0
2006-0180-USA,United States of America (the),2006,4.0,4.0,2006,4.0,17.0,Natural,Hydrological,Flood,Riverine flood,600.0,1.0
2006-0182-USA,United States of America (the),2006,3.0,14.0,2006,3.0,23.0,Natural,Hydrological,Flood,Riverine flood,7.0,7.0
2006-0704-USA,United States of America (the),2006,10.0,15.0,2006,10.0,15.0,Natural,Geophysical,Earthquake,Ground movement,3529.0,0.0
2006-0341-USA,United States of America (the),2006,6.0,25.0,2006,7.0,1.0,Natural,Hydrological,Flood,Riverine flood,65000.0,11.0
2006-0161-USA,United States of America (the),2006,4.0,2.0,2006,4.0,3.0,Natural,Meteorological,Storm,Convective storm,3636.0,28.0
2006-0171-USA,United States of America (the),2006,4.0,6.0,2006,4.0,8.0,Natural,Meteorological,Storm,Convective storm,625.0,12.0
2006-0257-USA,United States of America (the),2006,5.0,1.0,2006,5.0,7.0,Natural,Meteorological,Storm,Convective storm,600.0,1.0
2006-0260-USA,United States of America (the),2006,5.0,11.0,2006,5.0,22.0,Natural,Hydrological,Flood,Riverine flood,2500.0,2.0
2006-0546-USA,United States of America (the),2006,9.0,22.0,2006,9.0,26.0,Natural,Hydrological,Flood,Riverine flood,1210.0,14.0
2006-0743-USA,United States of America (the),2006,11.0,30.0,2006,12.0,3.0,Natural,Meteorological,Storm,None,11.0,11.0
2006-0128-USA,United States of America (the),2006,3.0,11.0,2006,3.0,13.0,Natural,Meteorological,Storm,Convective storm,42.0,10.0
2006-0595-USA,United States of America (the),2006,11.0,15.0,2006,11.0,16.0,Natural,Meteorological,Storm,Convective storm,20.0,12.0
2006-0642-USA,United States of America (the),2006,10.0,12.0,2006,10.0,14.0,Natural,Meteorological,Storm,Convective storm,3.0,3.0
2006-0466-USA,United States of America (the),2006,8.0,2.0,2006,9.0,7.0,Natural,Meteorological,Storm,Tropical cyclone,140.0,6.0
2006-0706-USA,United States of America (the),2006,12.0,25.0,2006,12.0,25.0,Natural,Meteorological,Storm,Convective storm,600.0,0.0
2006-0707-USA,United States of America (the),2006,12.0,21.0,2006,12.0,21.0,Natural,Meteorological,Storm,Convective storm,0.0,0.0
2006-0718-USA,United States of America (the),2006,12.0,27.0,2006,12.0,31.0,Natural,Meteorological,Storm,Convective storm,0.0,0.0
2006-0344-USA,United States of America (the),2006,6.0,22.0,2006,6.0,25.0,Natural,Hydrological,Flood,Riverine flood,2400.0,2.0
2006-0413-USA,United States of America (the),2006,7.0,27.0,2006,8.0,7.0,Natural,Hydrological,Flood,Riverine flood,0.0,0.0
2006-0418-USA,United States of America (the),2006,7.0,27.0,2006,7.0,30.0,Natural,Hydrological,Flood,Riverine flood,600.0,1.0
2006-0461-USA,United States of America (the),2006,8.0,19.0,2006,8.0,24.0,Natural,Hydrological,Flood,Riverine flood,150.0,0.0
