Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2008-0638-USA,2008,638,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"Orting town (Pierce district, Washington province), Chehalus town (Lewis district, Washington), Oregon province",Heavy rains,,,,,,,35110.0,Km2,42.84,-123.77,,"Puyallup, Newaukaum",2008,12.0,29.0,2009,1.0,16.0,,,30000.0,,30000.0,,,,,,,83.18902296,1;2,3251,31650;31656,"Oregon (Adm1). Lewis, Pierce (Adm2)."
2008-0253-USA,2008,253,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,California province,"Lightening, drought, wind",,,,,Yes,,3500.0,Km2,,,,,2008,6.0,20.0,2008,7.0,9.0,1.0,,,300.0,300.0,,,,,102000.0,122612.0,83.18902296,1,3218,,California (Adm1).
2009-0106-USA,2009,106,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"North Dakota, Minnesota provinces","Snowmelt, hevay rain",,,,,Yes,,39740.0,Km2,48.25,-97.03,,"Red river, Fargo, James river",2009,3.0,24.0,2009,4.0,20.0,2.0,60.0,5000.0,,5060.0,,,,,166000.0,200258.0,82.89324989,1,3237;3248,,"Minnesota, North Dakota (Adm1)."
2009-0349-USA,2009,349,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,United States of America (the),USA,Northern America,Americas,"Los Angeles, Monterey districts (California province)",,,,,,Yes,,,Km2,,,,,2009,7.0,7.0,2009,10.0,27.0,2.0,,,192.0,192.0,,,,,,,82.89324989,2,,28883;28891,"Los Angeles, Monterey (Adm2)."
2010-0187-USA,2010,187,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"Alabama, Arkansas, Mississippi, Kentucky, Tennessee provinces",Heavy rains,Flood,,,,,,320.0,Kph,36.07,-87.28,,,2010,4.0,30.0,2010,5.0,3.0,30.0,,8000.0,,8000.0,,,800000.0,949524.0,2350000.0,2789227.0,84.25273272,1,3214;3217;3231;3238;3256,,"Alabama, Arkansas, Kentucky, Mississippi, Tennessee (Adm1)."
2010-0663-USA,2010,663,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Arkansas, Missouri, Illinois provinces",,,,,,,,,Kph,,,,,2010,12.0,31.0,2011,1.0,1.0,8.0,13.0,,,13.0,,,,,,,84.25273272,1,3217;3227;3239,,"Arkansas, Illinois, Missouri (Adm1)."
2011-0195-USA,2011,195,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Illinois, Massachusetts, Michigan, Minnesota, North Dakota provinces",,Flood,Hail,,,Yes,,260.0,Kph,,,,,2011,5.0,29.0,2011,6.0,1.0,3.0,200.0,,,200.0,,,450000.0,517762.0,,,86.91246502,1,3227;3235;3236;3237;3248,,"Illinois, Massachusetts, Michigan, Minnesota, North Dakota (Adm1)."
2011-0029-USA,2011,29,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Oklahoma, Texas, Missouri, Wisconsin, Minnesota, Colorado, Wyoming, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, New York, New Jersey, Pennsylvania provinces",,Cold wave,,,,,,,Kph,,,,,2011,1.0,31.0,2011,2.0,2.0,39.0,,,,,,,1425000.0,1639581.0,1900000.0,2186108.0,86.91246502,1,3214;3217;3219;3221;3223;3224;3231;3232;3234;3237;3238;3239;3244;3246;3247;3250;3252;3254;3256;3257;3260;3262;3263;3264,,"Alabama, Arkansas, Colorado, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Minnesota, Mississippi, Missouri, New Jersey, New York, North Carolina, Oklahoma, Pennsylvania, South Carolina, Tennessee, Texas, Virginia, West Virginia, Wisconsin, Wyoming (Adm1)."
2011-0610-USA,2011,610,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"Mississippi, Ohio provinces",Torrentail rains,Rain,,,,,,,Km2,,,,,2011,4.0,18.0,2011,5.0,23.0,9.0,,,,,,,500000.0,575291.0,4600000.0,5292682.0,86.91246502,1,3238;3249,,"Mississippi, Ohio (Adm1)."
2011-0328-USA,2011,328,TC-2011-000114,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Irene,United States of America (the),USA,Northern America,Americas,"New York, New Jersey, Pennsylvania, North Carolina, Virginia, Maryland, District of Columbia, Connecticut, Florida provinces",,Flood,,,,,,252912.0,Kph,40.186,-70.06,,,2011,8.0,27.0,2011,9.0,13.0,46.0,,370000.0,,370000.0,,,,,7300000.0,8399256.0,86.91246502,1,3220;3222;3223;3234;3244;3246;3247;3252;3260,,"Connecticut, District of Columbia, Florida, Maryland, New Jersey, New York, North Carolina, Pennsylvania, Virginia (Adm1)."
2011-0646-USA,2011,646,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"Montana, North Dakota, South Dakota, Iowa, Missouri provinces",Heavy snowmelt and rains,,,,,,,,Km2,,,,Missouri river basin,2011,5.0,15.0,2011,6.0,30.0,5.0,,,11000.0,11000.0,,,,,2000000.0,2301166.0,86.91246502,1,3229;3239;3240;3248;3255,,"Iowa, Missouri, Montana, North Dakota, South Dakota (Adm1)."
2011-0639-USA,2011,639,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,"Arizona, Minnesota, Texas, Florida provinces",Drought conditions and strong winds,,,,,,,,Km2,,,,,2011,5.0,29.0,2011,6.0,23.0,2.0,,,,,,,,,200000.0,230117.0,86.91246502,1,3216;3223;3237;3257,,"Arizona, Florida, Minnesota, Texas (Adm1)."
2011-9363-USA,2011,9363,,Natural,Climatological,Drought,Drought,,,United States of America (the),USA,Northern America,Americas,"Texas, Oklahoma, New Mexico, Arizona, Kansas, Louisiana provinces",,,,,,,,,Km2,,,,,2011,1.0,,2011,11.0,,,,,,,,,1000000.0,1150583.0,8000000.0,9204664.0,86.91246502,1,3216;3230;3232;3245;3250;3257,,"Arizona, Kansas, Louisiana, New Mexico, Oklahoma, Texas (Adm1)."
2012-9235-USA,2012,9235,,Natural,Climatological,Drought,Drought,,,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin provinces",,Heat wave,,,,,,,Km2,,,,,2012,6.0,,2012,,,,,,,,,,,,,,88.71096898,1,3227;3228;3229;3230;3236;3237;3239;3241;3248;3249;3255;3263,,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin (Adm1)."
2012-9489-USA,2012,9489,,Natural,Climatological,Drought,Drought,,,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Arizona, California, Colorado, Nevada, New Mexico, Oklahoma, Texas, Utah provinces",Severe lack of rainand extreme temperature,Heat wave,,,,Yes,,,Km2,,,,,2012,6.0,,2012,12.0,,,,,,,,,16000000.0,18036101.0,20000000.0,22545126.0,88.71096898,1,3216;3218;3219;3227;3228;3229;3230;3236;3237;3239;3241;3242;3245;3248;3249;3250;3255;3257;3258;3263,,"Arizona, California, Colorado, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Mexico, North Dakota, Ohio, Oklahoma, South Dakota, Texas, Utah, Wisconsin (Adm1)."
2012-0503-USA,2012,503,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"Ohio, Virginia, Maryland, West Virginia, District of Columbia, Illinois, Indiana, Kentucky, New Jersey, North Carolina, South Carolina provinces",,,,,,,,146.0,Kph,,,,,2012,6.0,28.0,2012,7.0,2.0,28.0,,,,,,,2000000.0,2254513.0,4000000.0,4509025.0,88.71096898,1,3222;3227;3228;3231;3234;3244;3247;3249;3254;3260;3262,,"District of Columbia, Illinois, Indiana, Kentucky, Maryland, New Jersey, North Carolina, Ohio, South Carolina, Virginia, West Virginia (Adm1)."
2012-0214-USA,2012,214,,Natural,Meteorological,Extreme temperature,Heat wave,,,United States of America (the),USA,Northern America,Americas,"District of Columbia, Iowa, Virginia, North Carolina provinces",,,,,,,,40.0,°C,,,,,2012,6.0,30.0,2012,7.0,19.0,123.0,,,,,,,,,,,88.71096898,1,3222;3229;3247;3260,,"District of Columbia, Iowa, North Carolina, Virginia (Adm1)."
2012-0232-USA,2012,232,,Natural,Climatological,Wildfire,,,Waldo Canyon Fire,United States of America (the),USA,Northern America,Americas,"Colorado Springs city (El Paso district, Colorado province)",,,,,,Yes,,,Km2,,,,,2012,6.0,23.0,2012,7.0,10.0,2.0,,,1038.0,1038.0,,,450000.0,507265.0,600000.0,676354.0,88.71096898,2,,28942,El Paso (Adm2).
2013-0184-USA,2013,184,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania provinces",,,,,,,,475.0,Kph,,,,,2013,5.0,26.0,2013,6.0,6.0,27.0,150.0,170000.0,,170150.0,,,1425000.0,1583150.0,2100000.0,2333063.0,90.01044002,1,3219;3220;3230;3233;3235;3240;3241;3243;3244;3245;3246;3248;3249;3250;3252;3253;3255;3257;3259;3263;3264,,"Colorado, Connecticut, Kansas, Maine, Massachusetts, Montana, Nebraska, New Hampshire, New Jersey, New Mexico, New York, North Dakota, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Dakota, Texas, Vermont, Wisconsin, Wyoming (Adm1)."
2013-0510-USA,2013,510,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,Austin district (Texas province),Torrentiak rain,,,,,Yes,,38936.0,Km2,30.66,-96.01,,,2013,10.0,31.0,2013,11.0,10.0,4.0,,4800.0,,4800.0,,,,,,,90.01044002,2,,31207,Austin (Adm2).
2013-0209-USA,2013,209,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,Los Angeles district (California province),"Hot temperatures, gusty winds, dry forest conditions",,,,,,,,Km2,,,,,2013,5.0,30.0,2013,6.0,8.0,,8.0,12.0,90.0,110.0,,,,,21400.0,23775.0,90.01044002,2,,28883,Los Angeles (Adm2).
2013-0212-USA,2013,212,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,"Yarnell area (Yavapai district, Arizona province)",,,,,,,,,Km2,,,,,2013,6.0,28.0,2013,7.0,12.0,19.0,,,387.0,387.0,,,,,2000.0,2222.0,90.01044002,2,,28788,Yavapai (Adm2).
2013-0315-USA,2013,315,,Natural,Climatological,Wildfire,,,,United States of America (the),USA,Northern America,Americas,"Yosemite valley (Mariposa district, California province)",,,,,,Yes,,,Km2,,,,,2013,8.0,3.0,2013,9.0,1.0,,3.0,,33.0,36.0,,,,,175000.0,194422.0,90.01044002,2,,28886,Mariposa (Adm2).
2014-0126-USA,2014,126,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Mississippi, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Florida, Alabama, New York, New Jersey, Pennsylvania provinces",,Flood,Hail,,,,,,Kph,,,,,2014,4.0,27.0,2014,5.0,1.0,40.0,15.0,,,15.0,,,1200000.0,1311897.0,2000000.0,2186495.0,91.47061409,1,3214;3217;3219;3221;3223;3224;3227;3228;3229;3230;3231;3232;3234;3236;3237;3238;3239;3240;3241;3244;3245;3246;3247;3248;3249;3250;3252;3254;3255;3256;3257;3260;3262;3263;3264,,"Alabama, Arkansas, Colorado, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Pennsylvania, South Carolina, South Dakota, Tennessee, Texas, Virginia, West Virginia, Wisconsin, Wyoming (Adm1)."
2014-0100-USA,2014,100,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"California, Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Tennessee, New York, New Jersey, Pennsylvania provinces",,,,,,,,,Kph,,,,,2014,2.0,28.0,2014,3.0,4.0,12.0,,,,,,,,,2000.0,2186.0,91.47061409,1,3218;3219;3227;3228;3229;3230;3236;3237;3239;3240;3241;3244;3245;3246;3248;3249;3250;3252;3255;3256;3257;3263;3264,,"California, Colorado, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Montana, Nebraska, New Jersey, New Mexico, New York, North Dakota, Ohio, Oklahoma, Pennsylvania, South Dakota, Tennessee, Texas, Wisconsin, Wyoming (Adm1)."
2014-9023-USA,2014,9023,,Natural,Climatological,Drought,Drought,,,United States of America (the),USA,Northern America,Americas,San Joaquin district (California province),,,,,,,,,Km2,,,,,2014,1.0,,2014,12.0,,,,,,,,,,,2200000.0,2405144.0,91.47061409,2,,28903,San Joaquin (Adm2).
2015-0488-USA,2015,488,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,United States of America (the),USA,Northern America,Americas,"Austin, Houston districts (Texas province), Lousiana province",,Flood,Hail,,,,,,Kph,,,,,2015,10.0,29.0,2015,11.0,3.0,6.0,,,,,,,200000.0,218390.0,270000.0,294827.0,91.57911703,1;2,3232,31207;31312,"Louisiana (Adm1). Austin, Houston (Adm2)."
2015-0565-USA,2015,565,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,"Mississippi, Missouri, Kentucky, Tennessee, Arkansas, Alabama, Illinois, Indiana, Louisiana provinces",Heavy rains,Storm,,,,,,,Km2,356.658,-910.83,,Mississippi river,2015,12.0,15.0,2016,1.0,6.0,31.0,50.0,4000.0,,4050.0,,,200000.0,218390.0,600000.0,655171.0,91.57911703,1,3217;3227;3228;3231;3232;3238;3239;3256,,"Arkansas, Illinois, Indiana, Kentucky, Louisiana, Mississippi, Missouri, Tennessee (Adm1)."
2015-0072-USA,2015,72,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Illinois, Michigan, Massachusetts, New York, Connecticut, Indiana provinces",,Cold wave,,,,,,,Kph,,,,,2015,1.0,31.0,2015,2.0,4.0,22.0,,,,,,,200000.0,218390.0,150000.0,163793.0,91.57911703,1,3220;3227;3228;3235;3236;3246,,"Connecticut, Illinois, Indiana, Massachusetts, Michigan, New York (Adm1)."
2015-0531-USA,2015,531,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Texas, Kansas, Oklahoma provinces",Heavy rain,Flood,,,,,,,Kph,,,,,2015,11.0,25.0,2015,12.0,4.0,18.0,,300.0,,300.0,,,62500.0,68247.0,140000.0,152873.0,91.57911703,1,3230;3250;3257,,"Kansas, Oklahoma, Texas (Adm1)."
2015-9210-USA,2015,9210,,Natural,Climatological,Drought,Drought,,,United States of America (the),USA,Northern America,Americas,"California, Nevada, Oregon, Washington, Idaho, Montana, Utah, Arizona provinces",,,,,,,,,Km2,,,,,2015,1.0,,2015,12.0,,,,,,,,,,,4500000.0,4913784.0,91.57911703,1,3216;3218;3226;3240;3242;3251;3258;3261,,"Arizona, California, Idaho, Montana, Nevada, Oregon, Utah, Washington (Adm1)."
2015-0312-USA,2015,312,,Natural,Climatological,Wildfire,,,,United States of America (the),USA,Northern America,Americas,"Lake, Napa, Solano, Yolo, Modoc, Colusa districts (California province)","Drought conditions, gusty winds, warm temperatures, lightening",,,,,Yes,,,Km2,,,,,2015,7.0,22.0,2015,8.0,13.0,1.0,,,129.0,129.0,,,,,2000.0,2184.0,91.57911703,2,,28870;28881;28889;28892;28912;28921,"Colusa, Lake, Modoc, Napa, Solano, Yolo (Adm2)."
2015-0399-USA,2015,399,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,"Hillsborough, Pasco, Pinellas, Dixie, Taylor districts (Florida province)",,,,,,Yes,,,Km2,,,,,2015,7.0,24.0,2015,8.0,5.0,,,600.0,,600.0,,,,,100000.0,109195.0,91.57911703,2,,29011;29025;29048;29049;29059,"Dixie, Hillsborough, Pasco, Pinellas, Taylor (Adm2)."
2016-0125-USA,2016,125,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,United States of America (the),USA,Northern America,Americas,"Texas, Oklahoma, Arkansas, Louisiana, Mississippi, Kansas, Virginia, North Carolina, Georgia, Missouri, Illinois, West Virginia provinces",,Hail,Flood,,,,,,Kph,,,,,2016,4.0,25.0,2016,5.0,4.0,6.0,,,,,,,2000000.0,2156695.0,2400000.0,2588034.0,92.73447917,1,3217;3224;3227;3230;3232;3238;3239;3247;3257;3260;3262,,"Arkansas, Georgia, Illinois, Kansas, Louisiana, Mississippi, Missouri, North Carolina, Texas, Virginia, West Virginia (Adm1)."
2016-0183-USA,2016,183,FL-2016-000056,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,"Texas, Oklahoma, Arkansas, Kansas, Nebraska provinces",Heavy rain,Storm,,,,Yes,,,Km2,308.574,-955.37,,,2016,5.0,27.0,2016,6.0,2.0,15.0,,,,,,,200000.0,215670.0,300000.0,323504.0,92.73447917,1,3217;3230;3241;3250;3257,,"Arkansas, Kansas, Nebraska, Oklahoma, Texas (Adm1)."
