Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2005-0467-USA,2005,467,,Natural,Meteorological,Storm,Tropical cyclone,,Katrina,United States of America (the),USA,Northern America,Americas,"Mobile, Bayou La Batre, Dauphin Island, Coden areas (Mobile district, Alabama province), New Orleans city (Orleans district, Louisiana province), Slidell area (St. Tammany district, Louisiana province), St. Bernard district (Louisiana province), Biloxi, Gulfport cities (Harrison district, Mississippi province), Pascagoula city (Jackson district, Mississippi province), Waveland, Bay St. Louis cities (Hancock district, Mississippi province), Georgia, Florida provinces",,Flood,Broken Dam/Burst bank,,,Yes,,280.0,Kph,,,,,2005,8.0,29.0,2005,9.0,19.0,1833.0,,500000.0,,500000.0,,,60000000.0,79515275.0,125000000.0,165656824.0,75.45719958,1;2,3223;3224,28739;29826;29834;29842;30101;30102;30108,"Florida, Georgia (Adm1). Hancock, Harrison, Jackson, Mobile, Orleans, St. Bernard, St. Tammany (Adm2)."
2005-0716-USA,2005,716,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"Reno area (Washoe district, Nevada province), Truckee area (Nevada district, California province), Napa, Sonoma, Mendocino, Marin, Solano, Los Angeles districts (California), Carson City district (Nevada province)",Storm,"Slide (land, mud, snow, rock)",Rain,,,Yes,,140500.0,Km2,,,,"Sacramento, San JOaquin, Russian, Napa, Navarro, Klamath, Eel, Pit, Susan, Truckee",2005,12.0,31.0,2006,1.0,18.0,3.0,,3600.0,,3600.0,,,,,245000.0,324687.0,75.45719958,2,,28883;28885;28887;28892;28893;28912;28913;30424;30439,"Carson City, Los Angeles, Marin, Mendocino, Napa, Nevada, Solano, Sonoma, Washoe (Adm2)."
2005-0547-USA,2005,547,,Natural,Meteorological,Storm,Tropical cyclone,,Rita,United States of America (the),USA,Northern America,Americas,"Louisiana, Texas, Mississippi provinces",,Flood,,,,Yes,,280.0,Kph,,,,"Vermillion, Calcasieu, Mermentau, Amite, Sabine, Neches",2005,9.0,23.0,2005,10.0,1.0,10.0,,300000.0,,300000.0,,,11300000.0,14975377.0,16000000.0,21204073.0,75.45719958,1,3232;3238;3257,,"Louisiana, Mississippi, Texas (Adm1)."
2005-0724-USA,2005,724,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,"Texas, Oklahoma provinces",,,,,,Yes,,,Km2,,,,,2005,12.0,27.0,2006,1.0,4.0,5.0,,,1410.0,1410.0,,,,,100000.0,132525.0,75.45719958,1,3250;3257,,"Oklahoma, Texas (Adm1)."
2006-0341-USA,2006,341,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"Maryland, Pennsylvania, New York, Delaware, Virginia, New Jersey provinces","Heavy rain, thunderstoms","Slide (land, mud, snow, rock)",,,,,,122600.0,Km2,40.41,-75.78,,,2006,6.0,25.0,2006,7.0,1.0,11.0,,65000.0,,65000.0,,,401000.0,514819.0,1000000.0,1283839.0,77.89139999,1,3221;3234;3244;3246;3252;3260,,"Delaware, Maryland, New Jersey, New York, Pennsylvania, Virginia (Adm1)."
2006-0743-USA,2006,743,,Natural,Meteorological,Storm,,,,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Kentucky, Missouri, New York, Ohio, Pennsylvania, Tennessee provinces",,Rain,,,,,,,Kph,,,,,2006,11.0,30.0,2006,12.0,3.0,11.0,,,,,,,450000.0,577727.0,,,77.89139999,1,3227;3228;3231;3239;3246;3249;3252;3256,,"Illinois, Indiana, Kentucky, Missouri, New York, Ohio, Pennsylvania, Tennessee (Adm1)."
2006-0466-USA,2006,466,,Natural,Meteorological,Storm,Tropical cyclone,,Ernesto,United States of America (the),USA,Northern America,Americas,"South Carolina, North Carolina, Virginia provinces",,Flood,,,,,,119.0,Kph,34.74,-77.87,,,2006,8.0,2.0,2006,9.0,7.0,6.0,,140.0,,140.0,,,,,32860.0,42187.0,77.89139999,1,3247;3254;3260,,"North Carolina, South Carolina, Virginia (Adm1)."
2006-0413-USA,2006,413,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,El Paso district (Texas province),Heavy rain,,,,,,,3610.0,Km2,31.76,-106.39,,Rio Grande,2006,7.0,27.0,2006,8.0,7.0,,,,,,,,,,100000.0,128384.0,77.89139999,2,,31269,El Paso (Adm2).
2006-0387-USA,2006,387,,Natural,Meteorological,Extreme temperature,Heat wave,,,United States of America (the),USA,Northern America,Americas,"Modesto city (Stanislaus district, California province)",,,,,,,,50.0,°C,,,,,2006,7.0,14.0,2006,8.0,15.0,164.0,,,,,,,,,,,77.89139999,2,,28914,Stanislaus (Adm2).
2006-0427-USA,2006,427,,Natural,Meteorological,Extreme temperature,Heat wave,,,United States of America (the),USA,Northern America,Americas,New York province,,,,,,Yes,,44.0,°C,,,,,2006,7.0,30.0,2006,8.0,6.0,24.0,,,,,,,,,,,77.89139999,1,3246,,New York (Adm1).
2007-0244-USA,2007,244,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"Wichita Falls area (Wichita district, Texas province), Georgetown areas (Williamson district, Texas province), Burnet, Marble Falls, Granite Shoals areas (Burnet district, Texas province), Granbury area (Hood district, Texas province), Lampasas, Parker, Eastland districts (Texas province), Miami, Commerce areas (Ottawa district, Oklahoma province), Shawnee, Tecumseh, Maud areas (Pottawatomie district, Oklahoma province), Oklahoma city (Oklahoma district, Oklahoma province), Waurika area (Jefferson district, Oklahoma province), Bartlesville, Dewey areas (Washington district, Oklahoma province), Love, Lincoln districts (Oklahoma province), Coffeyville area (Montgomery district, Kansas province), Osawatomie area (Miami district, Kansas province), Allen, Labette, Neosho, Wilson, Woodson districts (Kansas province), Rockville, Papinville areas (Bates district, Missouri province), Vernon district (Missouri province)",Heavy rain,,Rain,,,,,507800.0,Km2,32.84,-97.17,,"San Gabriel, Brazos, Wichita, Trinity, Guadalupe, Sabine, Nueces, Colorado, Caney, Neosho, Red River, Verdigris, Marais des Cygnes, Pottawatomie, Marmaton, Osage and Marais des Cygnes",2007,6.0,26.0,2007,7.0,6.0,8.0,,5000.0,,5000.0,,,,,,,80.11339326,2,,29566;29615;29626;29628;29632;29668;29669;30167;30269;30841;30850;30862;30865;30870;30881;31226;31266;31310;31341;31383;31442;31445,"Allen, Bates, Burnet, Eastland, Hood, Jefferson, Labette, Lampasas, Love, Miami, Montgomery, Neosho, Oklahoma, Ottawa, Parker, Pottawatomie, Vernon, Washington, Wichita, Williamson, Wilson, Woodson (Adm2)."
2007-0351-USA,2007,351,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,"Alpine, Amador, Calaveras, El Dorado, Mono, Placer, Tuolumne districts (California province)",,,,,,,,,Km2,,,,,2007,6.0,24.0,2007,7.0,2.0,,,,768.0,768.0,,,150000.0,187235.0,,,80.11339326,2,,28866;28867;28869;28873;28890;28895;28919,"Alpine, Amador, Calaveras, El Dorado, Mono, Placer, Tuolumne (Adm2)."
2007-9548-USA,2007,9548,,Natural,Climatological,Drought,Drought,,,United States of America (the),USA,Northern America,Americas,"California, Georgia, Maryland provinces",Lack of precipitation,,,,,Yes,,,Km2,,,,,2007,10.0,,2009,6.0,,,,,,,,,,,300000.0,374469.0,80.11339326,1,3218;3224;3234,,"California, Georgia, Maryland (Adm1)."
2008-0131-USA,2008,131,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"Missouri, Mississippi, Arkansas, Indiana, Illinois, Ohio, Kentucky, Oklahoma, Iowa, Wisconsin, Texas provinces",Rain and snowmelt,Broken Dam/Burst bank,,,,Yes,,565200.0,Km2,36.23,-89.15,,Ohio and Mississippi rivers and tributaries,2008,3.0,17.0,2008,4.0,20.0,18.0,,1000.0,,1000.0,,,,,2000.0,2404.0,83.18902296,1,3217;3227;3228;3229;3231;3238;3239;3249;3250;3257;3263,,"Arkansas, Illinois, Indiana, Iowa, Kentucky, Mississippi, Missouri, Ohio, Oklahoma, Texas, Wisconsin (Adm1)."
