Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2006-0413-MEX,2006,413,,Natural,Hydrological,Flood,Riverine flood,,,Mexico,MEX,Central America,Americas,Juarez district (Chihuahua province),Heavy rain,,,,,,,,Km2,31.76,-106.39,,,2006,7.0,27.0,2006,8.0,7.0,,,,,,,,,,,,77.89139999,2,,19743,Juarez (Adm2).
2007-0521-MEX,2007,521,FL-2007-000200,Natural,Hydrological,Flood,Riverine flood,,,Mexico,MEX,Central America,Americas,"Huitiupan, Ixhuatan, Ixtacomitan, Juarez, Ocotepec, Ostuacan, Pantepec, Pichucalco, Reforma, Solosuchiapa districts (Chiapas province), Tabasco province",Heavy rain,Broken Dam/Burst bank,"Slide (land, mud, snow, rock)",Yes,Yes,Yes,12000.0,35810.0,Km2,17.67,-92.41,,"Grijalva, Puxcatab, Carrizal",2007,10.0,28.0,2007,11.0,16.0,22.0,,1600000.0,,1600000.0,,,700000.0,873762.0,3000000.0,3744692.0,80.11339326,1;2,2054,19635;19638;19639;19644;19661;19663;19668;19669;19673;19684,"Tabasco (Adm1). Huitiupan, Ixhuatan, Ixtacomitan, Juarez, Ocotepec, Ostuacan, Pantepec, Pichucalco, Reforma, Solosuchiapa (Adm2)."
2007-0464-MEX,2007,464,,Natural,Meteorological,Storm,Tropical cyclone,,Lorenzo,Mexico,MEX,Central America,Americas,"Veracruz, Puebla provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,20.93,-97.85,,,2007,9.0,28.0,2007,10.0,1.0,5.0,,33000.0,,33000.0,,,,,,,80.11339326,1,2048;2057,,"Puebla, Veracruz (Adm1)."
2009-0594-MEX,2009,594,EP-2009-000248,Natural,Biological,Epidemic,Viral disease,,Dengue,Mexico,MEX,Central America,Americas,"Tabasco, Veracruz, Quintana Roo, Nayarit, Jalisco, Guerrero","Heavy rain, flooding",,,,No,No,,,Vaccinated,,,,,2009,10.0,,2009,12.0,,,,41687.0,,41687.0,,,,,,,82.89324989,,,,
2010-0058-MEX,2010,58,,Natural,Hydrological,Flood,Riverine flood,,,Mexico,MEX,Central America,Americas,"Distrito Federal, Mexico city, Michoacan provinces",Heavy rain,"Slide (land, mud, snow, rock)",Cold wave,,,,,122621.0,Km2,19.94,-99.0,,,2010,1.0,26.0,2010,2.0,13.0,41.0,,20000.0,,20000.0,,,,,16000.0,18990.0,84.25273272,1,2036;2042;2043,,"Distrito Federal, Mexico, Michoacan (Adm1)."
2010-0260-MEX,2010,260,,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Alex""",Mexico,MEX,Central America,Americas,"Nuevo Leon, Coahuila, Tamaulipas, Oaxaca provinces",,Flood,,Yes,,Yes,,135.0,Kph,,,,,2010,6.0,30.0,2010,7.0,7.0,22.0,,170000.0,,170000.0,,,,,2000000.0,2373810.0,84.25273272,1,2034;2046;2047;2055,,"Coahuila, Nuevo Leon, Oaxaca, Tamaulipas (Adm1)."
2011-0241-MEX,2011,241,,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical Storm ""Arlene""",Mexico,MEX,Central America,Americas,"Isla, Tamalin, Tamiahua, Tampico Alto districts (Veracruz province)",,"Slide (land, mud, snow, rock)",Flood,,,,,,Kph,22.11,-98.75,,,2011,6.0,30.0,2011,7.0,1.0,22.0,,300000.0,,300000.0,,,,,70000.0,80541.0,86.91246502,2,,21147;21222;21223;21224,"Isla, Tamalin, Tamiahua, Tampico Alto (Adm2)."
2011-0161-MEX,2011,161,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Mexico,MEX,Central America,Americas,"Acuna, Muzquiz, Ocampo, Arteaga districts (Coahuila province)",Lightning,Heat wave,,Yes,,Yes,,,Km2,,,,,2011,3.0,,2011,5.0,,,,,,,,,,,,,86.91246502,2,,19775;19777;19793;19796,"Acuna, Arteaga, Muzquiz, Ocampo (Adm2)."
2011-0385-MEX,2011,385,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Jova,Mexico,MEX,Central America,Americas,"Puerto Vallarta district (Jalisco province), Manzanillo district (Colima province), Michoacan, Nayarit provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,160.0,Kph,,,,,2011,10.0,10.0,2011,11.0,1.0,5.0,,50000.0,,50000.0,,,,,27700.0,31871.0,86.91246502,1;2,2043;2045,19818;20153,"Michoacan, Nayarit (Adm1). Manzanillo, Puerto Vallarta (Adm2)."
2011-0633-MEX,2011,633,,Natural,Hydrological,Flood,Riverine flood,,,Mexico,MEX,Central America,Americas,Cuantitlan district (Jalisco province),,,,,,,,,Km2,,,,Cuautitlan,2011,8.0,23.0,2011,9.0,7.0,74.0,,,40000.0,40000.0,,,,,,,86.91246502,2,,20111,Cuatitlan (Adm2).
