Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2009-0409-IND,2009,409,FL-2009-000194,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Bihar, Orissa, West Bengal, Assam, Kerala, Gujarat, Karnataka provinces",Monsoon rain,,,,,,,,Km2,,,,,2009,7.0,,2009,9.0,,992.0,,1886000.0,,1886000.0,,,,,220000.0,265402.0,82.89324989,1,1487;1491;1494;1495;1504;1511;70073,,"Assam, Bihar, Gujarat, Karnataka, Kerala, Orissa, West Bengal (Adm1)."
2009-0429-IND,2009,429,FL-2009-000217,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Belgaum, Gulbarga, Bijapur, Raichur, Dharwad, Bagalkot, Bellary, Koppal, Haveri, Bidar, Gadag, Davanegere, Uttar Kannand, Dakshin Kannad districts (Karnataka province), Kurnool, Mahbubnagar, Karimnagar, Anantapur, Krishna, Cuddapah, Guntur, Khammam, Nalgonda districts (Andhra Pradesh province), Maharashtra province",Torrential rains,,,Yes,,,728.0,309700.0,Km2,15.71,78.23,,Tungabhadra and Krishna rivers,2009,9.0,25.0,2009,10.0,12.0,355.0,,4100000.0,,4100000.0,,,51000.0,61525.0,2150000.0,2593697.0,82.89324989,1;2,1498,17548;17550;17552;17554;17555;17556;17557;17558;17560;17679;17680;17681;17682;17685;17686;17687;17693;17696;70157;70162;70163;70164;70165,"Maharashtra (Adm1). Anantapur, Bagalkot, Belgaum, Bellary, Bidar, Bijapur, Cuddapah, Dakshin Kannad, Davanagere, Dharwad, Gadag, Gulbarga, Guntur, Haveri, Karimnagar, Khammam, Koppal, Krishna, Kurnool, Mahbubnagar, Nalgonda, Raichur, Uttar Kannand (Adm2)."
2009-0175-IND,2009,175,,Natural,Meteorological,Extreme temperature,Heat wave,,,India,IND,Southern Asia,Asia,"Orissa, West Bengal, Bihar, Uttar Pradesh, Jharkhand, Andhra Pradesh provinces",,,,,,,,48.0,°C,,,,,2009,4.0,14.0,2009,6.0,26.0,120.0,25.0,,,25.0,,,,,,,82.89324989,1,1485;1504;1511;70073;70078;70081,,"Andhra Pradesh, Bihar, Jharkhand, Orissa, Uttar Pradesh, West Bengal (Adm1)."
2009-0403-IND,2009,403,,Natural,Biological,Epidemic,Viral disease,,Japanese Encephalitis and Acute Encephalitis Syndrome,India,IND,Southern Asia,Asia,Uttar Pradesh,,,,,No,No,,,Vaccinated,,,,,2009,1.0,,2009,10.0,,311.0,,1521.0,,1521.0,,,,,,,82.89324989,,,,
2009-9323-IND,2009,9323,,Natural,Climatological,Drought,Drought,,,India,IND,Southern Asia,Asia,"Bongaigaon, Cachar, Dhuburi, Goalpara, Golaghat, Hailakandi, Jorhat, Kamrup, Karbi Anglong, Kokrajhar, Lakhimpur, Marigaon, Nagaon, Sibsagar, Barpeta, Darrang, Dhemaji, Dibrugarh, Karimganj, Nalbari, North Cachar Hills, Sonitpur, Tinsukia districts (Assam province), Bilaspur, Chamba, Hamirpur, Kangra, Kinnaur, Kullu, Lahaul and Spiti, Mandi, Shimla, Sirmaur, Solan, Una districts (Himachal Pradesh province), Chatra, Garhwa, Latehar, Palamu, Dumka, Deoghar, Giridih, Godda, Jamtara, Pakur, Sahibganj, Bokaro, Dhanbad, Purba Singhbhum, Gumla, Hazaribag, Koderma, Lohardaga, Ranchi, Simdega, Saraikela Kharsawan, Pashchim Singhbhum districts (Jharkhand province), Bishnupur, Chandel, Churachandpur, East Imphal, West Imphal, Senapati, Tamenglong, Thoubal, Ukhrul districts (Manipur province), Dimapur, Kohima, Phek, Mokokchung, Mon, Tuensang, Wokha, Zunheboto districts (Nagaland province), Ambedkar Nagar, Ballia, Bareilly, Basti, Deoria, Farrukkhabad, Fatehpur, Ghazipur, Hardoi, Hathras, Jaunpur, Kannauj, Kanpur Dehat, Mainpuri, Mau, Rae Bareli, Sultanpur, Sant Kabir Nagar, Unnao, Agra, Shahjahanpur, Faizabad, Meerut, Mahoba, Aligarh, Jyotiba Phule Nagar, Balrampur, Etah, Rampur, Ghaziabad, Gautam Buddha Nagar, Banda, Mathura, Allahabad, Auraiya, Jalaun, Varanasi, Chandauli, Moradabad, Azamgarh, Siddharth Nagar, Badaun, Sitapur, Firozabad, Saharanpur, Chitrakoot, Etawah, Bulandshahr, Kaushambi, Pilibhit, Muzaffarnagar, Kushinagar, Jhansi, Lucknow, Bijnor, Mirzapur districts (Uttar Pradesh province), Patna, Nalanda, Gaya, Buxar, Bhojpur, Rohtas, Bhabua, Siwan, Nawada, Munger, Aurangabad, Sheikhpura, Lakhisarai, Jamui, Bhagalpur, Banka, Saran, Jehanabad, Muzaffarpur, Sitamarhi, Begusarai, Madhepura, Kishanganj, Katihar, Vaishali districts (Bihar province), Bangalore Urban, Bangalore Rural, Kolar, Tumkur, Chitradurga, Davanagere, Chamrajnagar, Mysore, Mandya, Bellary, Koppal, Raichur, Gulbarga, Bidar, Belgaum, Bagalkot, Bijapur, Gadag districts (Karnataka province), Nanded, Latur, Aurangabad, Jalna, Bid, Parbhani, Osmanabad, Hingoli, Chandrapur, Yavatmal, Wardha, Thane, Raigarh, Nandurbar, Jalgaon, Amravati, Buldana, Washim, Garhchiroli, Pune, Satara, Sangli, Solapur, Kolhapur, Nashik, Dhule, Ahmednagar, Akola districts (Maharasthra province), Rewa, Satna, Sidhi, Shahdol, Anuppur, Umaria, Dindori, Jabalpur, Katni, Balaghat, Narsinghpur, Mandla, Sagar, Panna, Tikamgarh, Chhatarpur, Raisen, Vidisha, Damoh, Sehore, Gwalior, Guna, Ashoknagar, Shivpuri, Datia, Bhind, Morena, Sheopur, Shajapur, Dewas, Ratlam, East Nimar, Burhanpur, Barwani, Jhabua districts (Madhya Pradesh province), Ajmer, Alwar, Banswara, Barmer, Bhilwara, Bikaner, Bundi, Chittaurgarh, Churu, Dausa, Dungarpur, Ganganagar, Hanumangarh, Jaipur, Jaisalmer, Jalor, Jhunjhunu, Jodhpur, Nagaur, Pali, Rajsamand, Sawai Madhopur, Sikar, Sirohi, Tonk, Udaipur districts (Rajasthan province)",,,,,,Yes,,,Km2,,,,,2009,7.0,,2009,8.0,,,,,,,,,,,,,82.89324989,2,,17576;17577;17578;17579;17580;17581;17582;17583;17584;17585;17589;17590;17591;17592;17593;17594;17595;17596;17600;17601;17603;17607;17608;17610;17612;17613;17614;17615;17616;17619;17622;17623;17628;17630;17631;17632;17666;17667;17668;17669;17670;17671;17672;17673;17674;17675;17676;17677;17679;17680;17681;17682;17687;17690;17691;17692;17693;17695;17712;17715;17718;17720;17721;17722;17725;17726;17727;17730;17731;17732;17734;17735;17736;17739;17742;17743;17744;17745;17746;17748;17749;17750;17751;17753;17755;17758;17759;17762;17763;17764;17765;17767;17769;17770;17772;17773;17774;17776;17777;17780;17781;17782;17783;17784;17785;17786;17801;17802;17803;17804;17805;17806;17807;17834;17835;17836;17837;17839;17840;17841;17842;17843;17845;17846;17847;17848;17849;17851;17852;17854;17855;17856;17857;17858;17859;17860;17888;17889;17890;17892;17894;17895;17897;17898;17899;17901;17904;17905;17906;17907;17908;17909;17911;17912;17916;17917;17918;17919;17923;17924;17925;17926;17927;17928;17929;17931;17934;17935;17936;17937;17938;17939;17941;17943;70086;70087;70088;70089;70090;70091;70092;70093;70095;70096;70097;70098;70099;70100;70101;70102;70139;70140;70141;70142;70143;70144;70145;70146;70147;70148;70149;70150;70151;70152;70153;70154;70155;70156;70157;70158;70159;70160;70161;70162;70163;70165;70168;70169;70170;70171;70172;70174;70176;70177;70178;70179;70181;70182;70185;70186;70187;70188;70189;70190;70191;70192;70193;70194;70195;70196;70205;70237;70238;70240;70257;70258;70259;70261;70262;70263;70264;70265;70266;70267;70268;70269;70270;70271;70273;70274;70275;70278,"Agra, Ahmednagar, Ajmer, Akola, Aligarh, Allahabad, Alwar, Ambedkar Nagar, Amravati, Anuppur, Ashoknagar, Auraiya, Aurangabad, Azamgarh, Badaun, Bagalkot, Balaghat, Ballia, Balrampur, Banda, Bangalore Rural, Bangalore Urban, Banka, Banswara, Bareilly, Barmer, Barpeta, Barwani, Basti, Begusarai, Belgaum, Bellary, Bhabua, Bhagalpur, Bhilwara, Bhind, Bhojpur, Bid, Bidar, Bijapur, Bijnor, Bikaner, Bilaspur, Bishnupur, Bokaro, Bongaigaon, Bulandshahr, Buldana, Bundi, Burhanpur, Buxar, Cachar, Chamba, Chamrajnagar, Chandauli, Chandel, Chandrapur, Chatra, Chhatarpur, Chitradurga, Chitrakoot, Chittaurgarh, Churachandpur, Churu, Damoh, Darrang, Datia, Dausa, Davanagere, Deoghar, Deoria, Dewas, Dhanbad, Dhemaji, Dhuburi, Dhule, Dibrugarh, Dimapur, Dindori, Dumka, Dungarpur, East Imphal, East Nimar, Etah, Etawah, Faizabad, Farrukhabad, Fatehpur, Firozabad, Gadag, Ganganagar, Garhchiroli, Garhwa, Gautam Buddha Nagar, Gaya, Ghaziabad, Ghazipur, Giridih, Goalpara, Godda, Golaghat, Gulbarga, Gumla, Guna, Gwalior, Hailakandi, Hamirpur, Hanumangarh, Hardoi, Hathras, Hazaribag, Hingoli, Jabalpur, Jaipur, Jaisalmer, Jalaun, Jalgaon, Jalna, Jalor, Jamtara, Jamui, Jaunpur, Jehanabad, Jhabua, Jhansi, Jhunjhunun, Jodhpur, Jorhat, Jyotiba Phule Nagar, Kamrup, Kangra, Kannauj, Kanpur Dehat, Karbi Anglong, Karimganj, Katihar, Katni, Kaushambi, Kinnaur, Kishanganj, Koderma, Kohima, Kokrajhar, Kolar, Kolhapur, Koppal, Kullu, Kushinagar, Lahul and Spiti, Lakhimpur, Lakhisarai, Latehar, Latur, Lohardaga, Lucknow, Madhepura, Mahoba, Mainpuri, Mandi, Mandla, Mandya, Marigaon, Mathura, Mau, Meerut, Mirzapur, Mokokchung, Mon, Moradabad, Morena, Munger, Muzaffarnagar, Muzaffarpur, Mysore, Nagaon, Nagaur, Nalanda, Nalbari, Nanded, Nandurbar, Narsinghpur, Nashik, Nawada, North Cachar Hills, Osmanabad, Pakur, Palamu, Pali, Panna, Parbhani, Pashchim Singhbhum, Patna, Phek, Pilibhit, Pune, Purba Singhbhum, Rae Bareli, Raichur, Raigarh, Raisen, Rajsamand, Rampur, Ranchi, Ratlam, Rewa, Rohtas, Sagar, Saharanpur, Sahibganj, Sangli, Sant Kabir Nagar, Saraikela Kharsawan, Saran, Satara, Satna, Sawai Madhopur, Sehore, Senapati, Shahdol, Shahjahanpur, Shajapur, Sheikhpura, Sheopur, Shimla, Shivpuri, Sibsagar, Siddharth Nagar, Sidhi, Sikar, Simdega, Sirmaur, Sirohi, Sitamarhi, Sitapur, Siwan, Solan, Solapur, Sonitpur, Sultanpur, Tamenglong, Thane, Thoubal, Tikamgarh, Tinsukia, Tonk, Tuensang, Tumkur, Udaipur, Ukhrul, Umaria, Una, Unnao, Vaishali, Varanasi, Vidisha, Wardha, Washim, West Imphal, Wokha, Yavatmal, Zunheboto (Adm2)."
2010-0693-IND,2010,693,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Jal,India,IND,Southern Asia,Asia,Andhra Pradesh province,,Flood,,,,,,100.0,Kph,,,,,2010,10.0,31.0,2010,11.0,3.0,22.0,,,,,,,,,,,84.25273272,1,1485,,Andhra Pradesh (Adm1).
2010-0629-IND,2010,629,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Chennai, Cuddalore, Nagapattinam, Pudukottai, Ramanthapuram, Thanjavur, Thiruvallur, Villupuram, Thoothukudi, Tirunelveli Kattabo districts (Tamil Nadu province)",Monsoonal rain,,,,,,,57474.0,Km2,9.88,78.47,,,2010,11.0,15.0,2010,12.0,7.0,203.0,,,,,,,,,22000.0,26112.0,84.25273272,2,,17866;17876;17878;17881;17884;70242;70243;70247;70251;70255,"Chennai, Cuddalore, Nagapattinam, Pudukkottai, Ramanathapuram, Thanjavur, Thiruvallur, Thoothukudi, Tirunelveli Kattabo, Villupuram (Adm2)."
2010-0206-IND,2010,206,,Natural,Meteorological,Extreme temperature,Heat wave,,,India,IND,Southern Asia,Asia,"Delhi, Haryana, Madhya Pradesh, Orissa, Rajasthan, Uttar Pradesh provinces",,,,,,,,49.0,°C,,,,,2010,3.0,,2010,5.0,,250.0,,,,,,,,,,,84.25273272,1,1489;1492;1504;1506;70079;70081,,"Delhi, Haryana, Madhya Pradesh, Orissa, Rajasthan, Uttar Pradesh (Adm1)."
2011-0327-IND,2011,327,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,West Bengal province,Mosnoonal rains,,,,,,,28684.0,Km2,22.306,88.34,,,2011,8.0,10.0,2011,9.0,13.0,47.0,,700000.0,,700000.0,,,,,275000.0,316410.0,86.91246502,1,1511,,West Bengal (Adm1).
2011-0371-IND,2011,371,FL-2011-000138,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Angul, Baleshwar, Baragarh, Bhadrak, Boudh, Cuttack, Deogarh, Dhenkanal, Jajpur, Jagatsinghpur, Jharsuguda, Kendrapara, Khordha, Mayurbhanj, Nayagarh, Nuapada, Puri, Sambalpur districts (Orissa province)",Monsoonal rains,,,Yes,,,,27751.0,Km2,20.651,86.0,,,2011,9.0,23.0,2011,10.0,23.0,239.0,,3443989.0,,3443989.0,,,,,930000.0,1070042.0,86.91246502,2,,17809;17810;17816;17818;17819;70206;70207;70208;70209;70211;70212;70214;70215;70216;70218;70219;70222;70223,"Angul, Baleshwar, Baragarh, Bhadrak, Boudh, Cuttack, Deogarh, Dhenkanal, Jagatsinghpur, Jajpur, Jharsuguda, Kendrapara, Khordha, Mayurbhanj, Nayagarh, Nuapada, Puri, Sambalpur (Adm2)."
