key,country_name,alpha_code,Year,public_education_spending,primary_school_enrollment,primary_school_enrollment_female,primary_school_enrollment_male,secondary_school_enrollment,secondary_school_enrollment_female,secondary_school_enrollment_male,primary_completion_rate_female,primary_completion_rate_male,primary_completion_rate_total,female_literacy_rate,male_literacy_rate,adult_literacy_rate
0,Canada,CAN,2005,4.76588010787964,97.3645706176758,96.9387130737305,97.7711868286133,101.391189575195,100.234382629395,102.487060546875,,,,,,
1,Canada,CAN,2006,4.871072006225585,98.8806304931641,98.5098266601563,99.2344436645508,101.728248596191,100.669502258301,102.732360839844,,,,,,
2,Canada,CAN,2007,4.7664098739624,98.9664764404297,98.7211074829102,99.2001876831055,101.90348815918,100.74836730957,103.001899719238,,,,,,
3,Canada,CAN,2008,4.62612009048462,98.013313293457,97.9208602905273,98.1011810302734,102.344436645508,101.104248046875,103.525932312012,,,,,,
4,Canada,CAN,2009,4.84057998657227,99.0087966918945,99.0851287841797,98.936393737793,102.734443664551,101.503608703613,103.908081054688,,,,,,
5,Canada,CAN,2010,5.356369972229,98.6416015625,98.9050598144531,98.3922424316406,102.398483276367,101.156692504883,103.582977294922,,,,,,
6,Canada,CAN,2011,5.26205015182495,98.1893692016602,98.548828125,97.8499298095703,103.348960876465,102.266876220703,104.380767822266,,,,,,
7,Canada,CAN,2012,4.970306015014648,99.5182800292969,100.06697845459,99.0009078979492,109.987487792969,109.856071472168,110.112503051758,,,,,,
8,Canada,CAN,2013,4.970306015014648,100.340713500977,100.913726806641,99.8001480102539,109.485992431641,109.61531829834,109.363327026367,,,,,,
9,Canada,CAN,2014,4.970306015014648,101.536659240723,102.158683776855,100.948692321777,109.333099365234,109.651222229004,109.032302856445,,,,,,
10,Canada,CAN,2015,4.970306015014648,102.485076904297,102.907958984375,102.08415222168,110.35652923584,110.857620239258,109.883949279785,,,,,,
11,Canada,CAN,2016,4.970306015014648,101.023872375488,101.068466186523,100.981452941895,112.514282226563,113.386459350586,111.693092346191,,,,,,
12,Canada,CAN,2017,4.970306015014648,100.94367980957,100.819137573242,101.062438964844,113.76286315918,114.520637512207,113.046676635742,,,,,,
13,Canada,CAN,2018,4.970306015014648,101.501091003418,101.275398254395,101.716621398926,114.123512268066,114.747680664063,113.531532287598,,,,,,
14,Canada,CAN,2019,4.970306015014648,100.989753723145,100.694023132324,101.272323608398,114.333267211914,114.820533752441,113.869750976563,,,,,,
15,United States,USA,2005,,101.8740234375,101.310600280762,102.411376953125,95.0524826049805,95.9484786987305,94.2021102905273,98.66200002034525,100.89743296305362,99.80464935302757,,,
16,United States,USA,2013,,99.455436706543,99.0333786010742,99.859748840332,96.1864929199219,96.3090591430664,96.0696334838867,98.66200002034525,100.89743296305362,99.80464935302757,,,
17,United States,USA,2014,,99.6733779907227,99.502082824707,99.8374404907227,96.9245376586914,97.5130462646484,96.3625335693359,98.66200002034525,100.89743296305362,99.80464935302757,,,
18,United States,USA,2015,,100.299911499023,100.287261962891,100.312042236328,97.6525497436523,98.1735763549805,97.1537170410156,98.66200002034525,100.89743296305362,99.80464935302757,,,
19,United States,USA,2016,,101.362861633301,101.276412963867,101.445777893066,98.7699279785156,98.4747085571289,99.0528335571289,98.66200002034525,100.89743296305362,99.80464935302757,,,
20,United States,USA,2017,,101.821441650391,101.421997070313,102.204460144043,98.9523391723633,98.695556640625,99.1985168457031,97.1660308837891,100.429466247559,98.8321990966797,,,
21,United States,USA,2018,,101.256561279297,101.19637298584,101.314239501953,99.2755813598633,98.7960586547852,99.7356567382813,95.4763412475586,104.510192871094,100.092697143555,,,
22,United States,USA,2019,,100.981300354004,101.343742370605,100.634078979492,100.063430786133,99.189453125,100.902122497559,103.343627929688,97.7526397705078,100.489051818848,,,
23,Mexico,MEX,2005,4.84568977355957,108.60083770752,107.598243713379,109.572547912598,82.3040771484375,84.033317565918,80.5658493041992,101.548400878906,99.6275405883789,100.573638916016,90.2104110717773,93.1904067993164,91.6302719116211
24,Mexico,MEX,2006,4.69992017745972,108.174766540527,107.070419311523,109.246223449707,84.0856018066406,86.2486801147461,81.9230422973633,101.621002197266,100.1787109375,100.888198852539,89.8345108032227,93.9011993408203,91.7345199584961
25,Mexico,MEX,2007,4.69050979614258,108.799713134766,107.66877746582,109.898956298828,84.9070510864258,87.5231018066406,82.3140563964844,102.541519165039,101.396469116211,101.960693359375,91.3555526733398,94.4415130615234,92.7951736450195
26,Mexico,MEX,2008,4.82006978988647,109.424423217773,108.320953369141,110.497207641602,86.4275283813477,89.558837890625,83.3457717895508,101.707801818848,100.884307861328,101.29035949707,91.45361328125,94.5921630859375,92.9255981445313
27,Mexico,MEX,2009,5.18794012069702,110.545280456543,109.561187744141,111.50106048584,85.9380111694336,89.3971099853516,82.5510482788086,99.9387588500977,99.7133178710938,99.8245162963867,92.1162490844727,94.9165725708008,93.4418792724609
28,Mexico,MEX,2010,5.15922021865845,110.633491516113,109.838417053223,111.404319763184,87.0699234008789,90.3881378173828,83.8309097290039,100.464401245117,100.020286560059,100.239387512207,91.8534164428711,94.3839416503906,93.0689392089844
29,Mexico,MEX,2011,5.10564994812012,110.540756225586,109.890098571777,111.170318603516,88.1901779174805,91.3068771362305,85.1508712768555,100.240592956543,100.155639648438,100.197532653809,92.3382797241211,94.7827682495117,93.5199813842773
