key,Country Name,Country Code,Year,"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Primary completion rate, female (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Public spending on education, total (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary, female (% gross)","School enrollment, secondary, male (% gross)"
86aa321b-c7a3-44ed-87dc-1d4a6f6cac5f,Canada,CAN,2005,,,,,,,4.76588010787964,97.3645706176758,96.9387130737305,97.7711868286133,101.391189575195,100.234382629395,102.487060546875
6d2bf436-4782-41dc-ae53-2ec96a2b67de,Canada,CAN,2006,,,,,,,,98.8806304931641,98.5098266601563,99.2344436645508,101.728248596191,100.669502258301,102.732360839844
f88a1139-1de5-4216-be11-57fa6476e6cd,Canada,CAN,2007,,,,,,,4.7664098739624,98.9664764404297,98.7211074829102,99.2001876831055,101.90348815918,100.74836730957,103.001899719238
36bd1b27-2f3f-4646-99cd-c2333613b880,Canada,CAN,2008,,,,,,,4.62612009048462,98.013313293457,97.9208602905273,98.1011810302734,102.344436645508,101.104248046875,103.525932312012
d14afeeb-f28f-4fba-8404-5a23019453d3,Canada,CAN,2009,,,,,,,4.84057998657227,99.0087966918945,99.0851287841797,98.936393737793,102.734443664551,101.503608703613,103.908081054688
a56a19b3-d743-4bf4-8645-2c4b435179e8,Canada,CAN,2010,,,,,,,5.356369972229,98.6416015625,98.9050598144531,98.3922424316406,102.398483276367,101.156692504883,103.582977294922
85cd6a51-73fe-40c2-ac9e-cc088048f208,Canada,CAN,2011,,,,,,,5.26205015182495,98.1893692016602,98.548828125,97.8499298095703,103.348960876465,102.266876220703,104.380767822266
d6bfb8f7-8c57-430c-847d-97934cc27b2c,Canada,CAN,2012,,,,,,,,99.5182800292969,100.06697845459,99.0009078979492,109.987487792969,109.856071472168,110.112503051758
7dbae185-ef35-41f9-8c01-50028a3b205c,Canada,CAN,2013,,,,,,,,100.340713500977,100.913726806641,99.8001480102539,109.485992431641,109.61531829834,109.363327026367
d5f4989e-ac83-4ce6-9909-74b41181cdf9,Canada,CAN,2014,,,,,,,,101.536659240723,102.158683776855,100.948692321777,109.333099365234,109.651222229004,109.032302856445
d27e6724-aabe-49a3-9052-f2ab3578f988,Canada,CAN,2015,,,,,,,,102.485076904297,102.907958984375,102.08415222168,110.35652923584,110.857620239258,109.883949279785
34f03bde-0bd6-4123-a2e1-75a845dc6c79,Canada,CAN,2016,,,,,,,,101.023872375488,101.068466186523,100.981452941895,112.514282226563,113.386459350586,111.693092346191
dc0a4e77-aa03-497b-8899-8ab4c2d5f33c,Canada,CAN,2017,,,,,,,,100.94367980957,100.819137573242,101.062438964844,113.76286315918,114.520637512207,113.046676635742
480474ec-1bda-47ee-ae5e-6094ca8a8db6,Canada,CAN,2018,,,,,,,,101.501091003418,101.275398254395,101.716621398926,114.123512268066,114.747680664063,113.531532287598
3e358d09-fabe-47cf-a6b2-357b1911f778,Canada,CAN,2019,,,,,,,,100.989753723145,100.694023132324,101.272323608398,114.333267211914,114.820533752441,113.869750976563
365d1476-81d5-4f06-b0b9-cc9f6bc3b130,United States,USA,2005,,,,,,,,101.8740234375,101.310600280762,102.411376953125,95.0524826049805,95.9484786987305,94.2021102905273
88668a27-b4ab-448c-98c2-58e43c3a4deb,United States,USA,2013,,,,,,,,99.455436706543,99.0333786010742,99.859748840332,96.1864929199219,96.3090591430664,96.0696334838867
c8cdd49c-5e0b-4c7c-bf2e-6503822c9e23,United States,USA,2014,,,,,,,,99.6733779907227,99.502082824707,99.8374404907227,96.9245376586914,97.5130462646484,96.3625335693359
eb78f7ca-11c6-466b-972a-a03522568861,United States,USA,2015,,,,,,,,100.299911499023,100.287261962891,100.312042236328,97.6525497436523,98.1735763549805,97.1537170410156
de4f1c2c-b3f8-4f3b-b767-a1bcd54aa8f2,United States,USA,2016,,,,,,,,101.362861633301,101.276412963867,101.445777893066,98.7699279785156,98.4747085571289,99.0528335571289
31e2c38b-e5e1-47a5-a498-44d89453c07d,United States,USA,2017,,,,97.1660308837891,100.429466247559,98.8321990966797,,101.821441650391,101.421997070313,102.204460144043,98.9523391723633,98.695556640625,99.1985168457031
3e45738a-b4ef-492c-a638-b66da697016b,United States,USA,2018,,,,95.4763412475586,104.510192871094,100.092697143555,,101.256561279297,101.19637298584,101.314239501953,99.2755813598633,98.7960586547852,99.7356567382813
0d83f857-1ded-4988-8361-a206eff404d2,United States,USA,2019,,,,103.343627929688,97.7526397705078,100.489051818848,,100.981300354004,101.343742370605,100.634078979492,100.063430786133,99.189453125,100.902122497559
a01b06b7-f5b2-47d0-80ab-169f2c20b28e,Mexico,MEX,2005,90.2104110717773,93.1904067993164,91.6302719116211,101.548400878906,99.6275405883789,100.573638916016,4.84568977355957,108.60083770752,107.598243713379,109.572547912598,82.3040771484375,84.033317565918,80.5658493041992
0427d75d-39b5-4d58-bf2e-f91d9c0011c7,Mexico,MEX,2006,89.8345108032227,93.9011993408203,91.7345199584961,101.621002197266,100.1787109375,100.888198852539,4.69992017745972,108.174766540527,107.070419311523,109.246223449707,84.0856018066406,86.2486801147461,81.9230422973633
45e84e92-7ae6-4ed7-a8d5-77e336ff1bf2,Mexico,MEX,2007,91.3555526733398,94.4415130615234,92.7951736450195,102.541519165039,101.396469116211,101.960693359375,4.69050979614258,108.799713134766,107.66877746582,109.898956298828,84.9070510864258,87.5231018066406,82.3140563964844
0e39724b-b4c6-4432-bc3e-ab74a87f5853,Mexico,MEX,2008,91.45361328125,94.5921630859375,92.9255981445313,101.707801818848,100.884307861328,101.29035949707,4.82006978988647,109.424423217773,108.320953369141,110.497207641602,86.4275283813477,89.558837890625,83.3457717895508
60140874-5541-4cf1-97dc-f71ead85d38b,Mexico,MEX,2009,92.1162490844727,94.9165725708008,93.4418792724609,99.9387588500977,99.7133178710938,99.8245162963867,5.18794012069702,110.545280456543,109.561187744141,111.50106048584,85.9380111694336,89.3971099853516,82.5510482788086
6619c229-f720-47bd-9840-c07ec51d7afe,Mexico,MEX,2010,91.8534164428711,94.3839416503906,93.0689392089844,100.464401245117,100.020286560059,100.239387512207,5.15922021865845,110.633491516113,109.838417053223,111.404319763184,87.0699234008789,90.3881378173828,83.8309097290039
e2045755-aa10-4c03-8bc4-540f6812ef3b,Mexico,MEX,2011,92.3382797241211,94.7827682495117,93.5199813842773,100.240592956543,100.155639648438,100.197532653809,5.10564994812012,110.540756225586,109.890098571777,111.170318603516,88.1901779174805,91.3068771362305,85.1508712768555
6a741894-edb2-425b-b1f0-8b9b5a093879,Mexico,MEX,2012,93.1792373657227,95.3916320800781,94.228401184082,106.609817504883,105.429573059082,106.011009216309,5.10309982299805,110.413452148438,109.915298461914,110.894676208496,90.6671981811523,93.6471633911133,87.7582778930664
