Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2004-0515-CHN,2004,515,,Natural,Biological,Epidemic,Viral disease,,Avion Influenza H5N1,China,CHN,Eastern Asia,Asia,"Anhui, Hunan, Guangxi, Liaoning, Jiangxi, Fujian, Sichuan provinces",,,,,No,No,,,Vaccinated,,,,,2005,1.0,1.0,2007,6.0,4.0,16.0,,9.0,,9.0,,,,,,,72.98112921,,,,
2005-0419-CHN,2005,419,,Natural,Meteorological,Storm,Tropical cyclone,,Matsa (Gorio/09W),China,CHN,Eastern Asia,Asia,"Shanghai Shi, Jiangsu Sheng, Shandong Sheng, Anhui Sheng, Zhejiang Sheng provinces",,Rain,"Slide (land, mud, snow, rock)",,,,,165.0,Kph,,,,,2005,7.0,30.0,2005,8.0,4.0,10.0,,1240000.0,,1240000.0,,,85000.0,112647.0,850000.0,1126466.0,75.45719958,1,898;913;921;922;930,,"Anhui Sheng, Jiangsu Sheng, Shandong Sheng, Shanghai Shi, Zhejiang Sheng (Adm1)."
2005-9745-CHN,2005,9745,,Natural,Climatological,Drought,Drought,,,China,CHN,Eastern Asia,Asia,Guangdong Sheng province,,Fire,,,,,,,Km2,,,,,2005,10.0,,2005,,,,,174000.0,,174000.0,,,,,,,75.45719958,1,903,,Guangdong Sheng (Adm1).
2005-0334-CHN,2005,334,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Dazhou, Bazhong, Guang'an, Nanchong, Yibin, Luzhou, Garze Tibetan (Sichuan Sheng province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,69400.0,Km2,,,,,2005,6.0,28.0,2005,7.0,10.0,58.0,230.0,11230000.0,,11230230.0,,,,,607000.0,804430.0,75.45719958,2,,13258;13265;13266;13267;13268;13271;13273,"Bazhong, Dazhou, Garzê Tibetan, Guang'an, Luzhou, Nanchong, Yibin (Adm2)."
2005-0474-CHN,2005,474,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Shiyan, Xiangfan, Suizhou districts (Hubei Sheng province)",Rainstorms,"Slide (land, mud, snow, rock)",,,,,,43680.0,Km2,,,,Han river and tributaries,2005,8.0,14.0,2005,9.0,5.0,28.0,,14500.0,,14500.0,,,,,,,75.45719958,2,,13119;13121;13129,"Shennongjia, Shiyan, Xiangfan (Adm2)."
2005-0592-CHN,2005,592,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Shiyan district (Hubei Sheng province), Hanzhong district (Shaanxi Sheng province)",Heavy rains,,,,,,,29520.0,Km2,,,,Hanjiang river (Yangtze tributary),2005,9.0,29.0,2005,10.0,6.0,20.0,,4610000.0,,4610000.0,,,,,239000.0,316736.0,75.45719958,2,,13119;13221,"Hanzhong, Shiyan (Adm2)."
2005-0751-CHN,2005,751,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Jilin district (Jilin Sheng province), Hegang, Yichun, Daqing, Qiqihar, Harbin districts (Heilongjiang Sheng province)",Heavy rains,,,,,,,275000.0,Km2,,,,,2005,7.0,1.0,2005,8.0,12.0,5.0,,1270000.0,,1270000.0,,,,,271000.0,359144.0,75.45719958,2,,13086;13087;13089;13091;13092;13169,"Daqing, Harbin, Hegang, Jilin, Qiqihar, Yichun (Adm2)."
2005-0411-CHN,2005,411,,Natural,Biological,Epidemic,Bacterial disease,,Septicaemia,China,CHN,Eastern Asia,Asia,"Ziyang City area (Sichuan province), Guangdong, Hainan, Jiangsu provinces",,,,,No,No,,,Vaccinated,,,,,2005,6.0,24.0,2005,8.0,20.0,38.0,,168.0,,168.0,,,,,,,75.45719958,,,,
2005-9746-CHN,2005,9746,,Natural,Climatological,Drought,Drought,,,China,CHN,Eastern Asia,Asia,"Shanxi Sheng, Nei Mongol Zizhiqu, Ningxia Huizu Zizhiqu, Hunan Sheng, Guizhou Sheng provinces",,,,,,,,,Km2,,,,,2005,7.0,7.0,2005,,,,,7600000.0,,7600000.0,,,,,,,75.45719958,1,905;912;917;918;923,,"Guizhou Sheng, Hunan Sheng, Nei Mongol Zizhiqu, Ningxia Huizu Zizhiqu, Shanxi Sheng (Adm1)."
2006-0336-CHN,2006,336,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Si Xian, Xiao Xian areas (Suzhou district, Anhui Sheng province), Fengyang Xian area (Chuzhou district, Anhui Sheng province), Bozhou Shi, Fuyang Shi areas (Name Unknown (12994) district, Anhui Sheng province), Dafeng Shi area (Yancheng district, Jiangsu Sheng province), Bengbu, Huaibei districts (Anhui Sheng province), Henan Sheng province",Heavy rain,Broken Dam/Burst bank,"Slide (land, mud, snow, rock)",,,,,22760.0,Km2,34.04,117.03,,43710,2006,6.0,28.0,2006,7.0,6.0,30.0,,4120000.0,,4120000.0,,,,,679000.0,871727.0,77.89139999,1;2,909,12986;12989;12993;12994;12995;13152,"Henan Sheng (Adm1). Bengbu, Chuzhou, Huaibei, Name Unknown, Suzhou, Yancheng (Adm2)."
2006-0337-CHN,2006,337,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Zhenxiong Xian area (Zhaotong district, Yunnan Sheng province), Gulin Xian area (Luzhou district, Sichuan Sheng province), Sandu Shui Zizhixian area (Qiannan Buyei and Miao district, Guizhou Sheng province), Rongjiang Xian area (Qiandongnan Miao and Dong district, Guizhou Sheng province), Bijie, Zunyi districts (Guizhou Sheng province)",Heavy rain,"Slide (land, mud, snow, rock)",Rain,,,,,109600.0,Km2,,,,,2006,6.0,28.0,2006,7.0,8.0,42.0,9.0,10000.0,,10009.0,,,,,11000.0,14122.0,77.89139999,2,,13065;13068;13070;13071;13258;13306,"Bijie, Luzhou, Qiandongnan Miao and Dong, Qiannan Buyei and Miao, Zhaotong, Zunyi (Adm2)."
2006-0264-CHN,2006,264,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,Fujian Sheng province,Monsoonal rain,Broken Dam/Burst bank,,,,,,76600.0,Km2,26.75,118.57,,"Mi, Bashili, Pearl",2006,5.0,30.0,2006,6.0,9.0,57.0,,356000.0,,356000.0,,,,,393000.0,504549.0,77.89139999,1,901,,Fujian Sheng (Adm1).
2006-0199-CHN,2006,199,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Jiangxi Sheng, Hubei Sheng provinces",Torrential rain,Rain,,,,,,,Km2,,,,,2006,4.0,9.0,2006,5.0,11.0,21.0,461.0,,10000.0,10461.0,,,,,333000.0,427518.0,77.89139999,1,911;914,,"Hubei Sheng, Jiangxi Sheng (Adm1)."
