Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2005-0701-BGD,2005,701,,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,Bangladesh,BGD,Southern Asia,Asia,"Chittagong district (Chittagong province), Jessore district (Khulna province), Rajshahi, Pabna districts (Rajshahi province), Thakurgaon, Kurigram districts (Rangpur province)",,,,,,,,8.0,°C,,,,,2005,12.0,,2006,1.0,,100.0,,1000.0,,1000.0,,,,,,,75.45719958,2,,5770;5797;5809;5815;5817;5820,"Chittagong, Jessore, Kurigram, Pabna, Rajshahi, Thakurgaon (Adm2)."
2006-0510-BGD,2006,510,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,"Hatiya area (Noakhali district, Chittagong province), Bagerhat district (Khulna province), Patuakhali, Barguna districts (Barisal province)",,Flood,,,,,,,Kph,19.73,83.75,,,2006,9.0,18.0,2006,10.0,5.0,115.0,,9135.0,,9135.0,,,,,,,77.89139999,2,,5761;5765;5776;5795,"Bagerhat, Barguna, Noakhali, Patuakhali (Adm2)."
2006-0262-BGD,2006,262,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Khagrachhari district (Chittagong province), Sylhet province",Monsoonal rain,,,,,,,,Km2,,,,Jamuna and tributaries,2006,5.0,31.0,2006,7.0,24.0,,,76000.0,,76000.0,,,,,,,77.89139999,1;2,580,5774,Sylhet (Adm1). Khagrachhari (Adm2).
2006-0502-BGD,2006,502,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Jessore, Khulna, Satkhira districts (Khulna province)",Monsoonal rain,,,,,,,28080.0,Km2,23.23,89.27,,,2006,8.0,24.0,2006,9.0,20.0,,,135775.0,,135775.0,,,,,,,77.89139999,2,,5797;5799;5804,"Jessore, Khulna, Satkhira (Adm2)."
2007-0311-BGD,2007,311,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Goalanda village (Goalandaghat area, Rajbari district, Dhaka province), Aricha port (Shibalaya area, Manikganj district, Dhaka province), Bhagyakul village (Sreenagar area, Munshiganj district, Dhaka province), Bandarban, Feni, Comilla districts (Chittagong province), Sirajganj district (Rajshahi province), Rangpur province",Monsoonal rain,"Slide (land, mud, snow, rock)",,,,,75000.0,7000.0,Km2,23.92,91.23,,Brahmaputra-Jamuna and Ganges-Padma tributaries,2007,7.0,21.0,2007,8.0,3.0,1110.0,,13771380.0,,13771380.0,,,,,100000.0,124823.0,80.11339326,1;2,61363,5767;5771;5773;5786;5791;5819,"Rangpur (Adm1). Bandarban, Comilla, Feni, Munshiganj, Rajbari, Sirajganj (Adm2)."
2007-0509-BGD,2007,509,,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Bangladesh,BGD,Southern Asia,Asia,,,,,,No,No,,,Vaccinated,,,,,2007,7.0,29.0,2007,10.0,9.0,54.0,,236558.0,,236558.0,,,,,,,80.11339326,,,,
2007-0510-BGD,2007,510,,Natural,Biological,Epidemic,Viral disease,,ARI,Bangladesh,BGD,Southern Asia,Asia,,,,,,No,No,,,Vaccinated,,,,,2007,7.0,30.0,2007,10.0,9.0,32.0,,48352.0,,48352.0,,,,,,,80.11339326,,,,
2008-0285-BGD,2008,285,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Cox's Bazar, Chittagong districts (Chittagong province)",Moonsonal rain,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2008,6.0,26.0,2008,7.0,13.0,16.0,2.0,,20000.0,20002.0,,,,,,,83.18902296,2,,5770;5772,"Chittagong, Cox's Bazar (Adm2)."
2008-9165-BGD,2008,9165,,Complex Disasters,Complex Disasters,Complex Disasters,,,,Bangladesh,BGD,Southern Asia,Asia,"Baghaichari, Barkal, Jurachari, Bilaichari sub-districts (Rangamati district), Rowangchari, Ruma, Thanchi sub-districts (Bandarban district)",Rodent infestation,Food shortage,,Yes,No,No,,,,,,,,2008,4.0,,2008,7.0,,,,128400.0,,128400.0,,,,,,,83.18902296,,,,
2008-0385-BGD,2008,385,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Bogra, Sirajganj districts (Rajshahi province)",Monsoonal rains,,,,,,,59250.0,Km2,21.02,90.21,,"Teesta, Brahmaputra, Dharta",2008,8.0,30.0,2008,9.0,8.0,12.0,,600000.0,15638.0,615638.0,,,,,,,83.18902296,2,,5805;5819,"Bogra, Sirajganj (Adm2)."
2009-0595-BGD,2009,595,CW-2010-000013,Natural,Meteorological,Extreme temperature,Cold wave,,,Bangladesh,BGD,Southern Asia,Asia,"Rajbari, Manikganj, Tangail, Sherpur districts (Dhaka province), Damurhuda, Sadar, Jiban Naga (Chuadanga district, Khulna province), Jessore, Bagerhat, Khulna, Meherpur, Satkhira districts (Khulna province), Sadar, Sripur (Magura district, Khulna province), Naogaon, Pabna, Bogra, Sirajganj districts (Rajshahi province), Biral, Fulbari (Dinajpur district, Rangpur province), Fulchari, Sundarganj, Saghata, Gabindaganj, Sadullapu (Gaibandha district, Rangpur province), Tentulia, Debiganj, Atwari (Panchagarh district, Rangpur province), Baliadangi, Haripur, Ranisenkail (Thakurgaon district, Rangpur province), Dimla, Jaldhaka (Nilphamari district, Rangpur province), Hatibandha, Patgram, Aditmari (Lalmonirhat district, Rangpur province), Roumari, Chilmari, Ulipur (Kurigram district, Rangpur province), Gangachara, Pirganj (Rangpur district, Rangpur province)",,,,,,,,-6.0,°C,,,,,2009,12.0,15.0,2010,1.0,31.0,135.0,,50000.0,,50000.0,,,,,,,82.89324989,2,,5785;5791;5793;5794;5795;5796;5797;5799;5801;5802;5804;5805;5806;5807;5809;5810;5811;5814;5815;5816;5818;5819;5820,"Bagerhat, Bogra, Chuadanga, Dinajpur, Gaibandha, Jessore, Khulna, Kurigram, Lalmonirhat, Magura, Manikganj, Meherpur, Naogaon, Nilphamari, Pabna, Panchagarh, Rajbari, Rangpur, Satkhira, Sherpur, Sirajganj, Tangail, Thakurgaon (Adm2)."
2009-9323-BGD,2009,9323,,Natural,Climatological,Drought,Drought,,,Bangladesh,BGD,Southern Asia,Asia,"Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet provinces",,,,,,,,,Km2,,,,,2009,7.0,,2009,8.0,,,,,,,,,,,,,82.89324989,1,575;576;577;578;580;61362;61363,,"Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet (Adm1)."
2011-0018-BGD,2011,18,,Natural,Meteorological,Extreme temperature,Cold wave,,,Bangladesh,BGD,Southern Asia,Asia,"Barguna district (Barisal province), Nazirpur upazila (Pirojpur district, Barisal province), Gaibandha, Kurigram, Thakurgaon, Dinajpur districts (Rangpur province), Gabura city (Rangpur district, Rangpur province), Domar upazila (Nilphamari district, Rangpur province), Tetulia upazila (Panchagarh district, Rangpur province), Dakope upazila (Khulna district, Khulna province), Kushtia, Chuadanga districts (Khulna province), Kalaroa upazila (Satkhira district, Khulna province), Tarail upazila (Kishoreganj district, Dhaka province), Manikganj, Sherpur districts (Dhaka province), Sirajganj, Rajshahi districts (Rajshahi province), Ishwardi city (Pabna district, Rajshahi province)",,,,,,,,5.0,°C,,,,,2011,1.0,7.0,2011,2.0,20.0,50.0,,100000.0,,100000.0,,,,,,,86.91246502,2,,5761;5766;5783;5785;5793;5796;5799;5800;5804;5806;5807;5809;5814;5816;5817;5818;5819;5820,"Barguna, Chuadanga, Dinajpur, Gaibandha, Khulna, Kishoreganj, Kurigram, Kushtia, Manikganj, Nilphamari, Panchagarh, Pirojpur, Rajshahi, Rangpur, Satkhira, Sherpur, Sirajganj, Thakurgaon (Adm2)."
2012-0175-BGD,2012,175,FL-2012-000106,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Chittagong, Bandarban, Cox's Bazar districts (Chittagong province), Sylhet district (Sylhet province)",Monsoonal rain,"Slide (land, mud, snow, rock)",,,,,5849.0,9560.0,Km2,22.1723,92.1,,,2012,6.0,24.0,2012,7.0,2.0,139.0,,5148475.0,,5148475.0,,,,,,,88.71096898,2,,5767;5770;5772;5824,"Bandarban, Chittagong, Cox's Bazar, Sylhet (Adm2)."
2012-0509-BGD,2012,509,CW-2013-000001,Natural,Meteorological,Extreme temperature,Cold wave,,,Bangladesh,BGD,Southern Asia,Asia,"Panchagarh, Thakurgaon, Dinajpur, Nilphamari, Lalmonirhat, Rangpur, Kurigram, Gaibandha districts (Rangpur province), Bogra, Joypurhat, Naogaon, Nawabganj, Rajshahi, Natore, Sirajganj, Pabna districts (Rajshahi province), Mymensingh, Faridpur, Madaripur districts (Dhaka province), Maulvibazar district (Sylhet province), Kushtia, Jessore districts (Khuna province)",,,,,,,,8.0,°C,,,,,2012,12.0,,2013,2.0,,72.0,,75000.0,,75000.0,,,,,,,88.71096898,2,,5779;5784;5787;5797;5800;5805;5806;5807;5808;5809;5810;5811;5812;5813;5814;5815;5816;5817;5818;5819;5820;5822,"Bogra, Dinajpur, Faridpur, Gaibandha, Jessore, Joypurhat, Kurigram, Kushtia, Lalmonirhat, Madaripur, Maulvibazar, Mymensingh, Naogaon, Natore, Nawabganj, Nilphamari, Pabna, Panchagarh, Rajshahi, Rangpur, Sirajganj, Thakurgaon (Adm2)."
