index,country_key,date_key,education_key,health_key,quality_of_life_key,event_key
0,2,1,32,32,32,458
1,3,1,48,48,48,628
2,3,1,48,48,48,630
3,4,1,64,64,64,1115
4,4,1,64,64,64,1117
5,4,1,64,64,64,1118
6,4,1,64,64,64,1121
7,6,1,94,96,96,1930
8,6,1,94,96,96,1931
9,7,1,110,112,112,2077
10,7,1,110,112,112,2078
11,3,2,48,48,48,625
12,3,2,48,48,48,626
13,3,2,48,48,48,629
14,4,2,64,64,64,1115
15,4,2,64,64,64,1122
16,4,2,64,64,64,1127
17,4,2,64,64,64,1129
18,6,2,94,96,96,1929
19,7,2,110,112,112,2077
20,3,3,48,48,48,627
21,3,3,48,48,48,632
22,4,3,64,64,64,1115
23,4,3,64,64,64,1116
24,4,3,64,64,64,1119
25,4,3,64,64,64,1120
26,4,3,64,64,64,1123
27,4,3,64,64,64,1124
28,4,3,64,64,64,1125
29,4,3,64,64,64,1126
30,4,3,64,64,64,1128
31,4,3,64,64,64,1160
32,4,3,64,64,64,1191
33,6,3,94,96,96,1928
34,6,3,94,96,96,1935
35,2,4,32,32,32,466
36,3,4,48,48,48,643
37,3,4,48,48,48,656
38,3,4,48,48,48,671
39,3,4,48,48,48,682
40,4,4,64,64,64,1115
41,4,4,64,64,64,1132
42,4,4,64,64,64,1156
43,4,4,64,64,64,1159
44,4,4,64,64,64,1161
45,4,4,64,64,64,1162
46,4,4,64,64,64,1163
47,4,4,64,64,64,1197
48,4,4,64,64,64,1198
49,6,4,94,96,96,1938
50,6,4,94,96,96,1942
51,0,5,0,0,0,3
52,2,5,32,32,32,462
53,3,5,48,48,48,635
54,3,5,48,48,48,652
55,3,5,48,48,48,657
56,3,5,48,48,48,683
57,3,5,48,48,48,684
58,4,5,64,64,64,1115
59,4,5,64,64,64,1141
60,4,5,64,64,64,1150
61,4,5,64,64,64,1157
62,4,5,64,64,64,1164
63,4,5,64,64,64,1165
64,4,5,64,64,64,1166
65,4,5,64,64,64,1167
66,4,5,64,64,64,1168
67,4,5,64,64,64,1188
68,4,5,64,64,64,1192
69,4,5,64,64,64,1206
70,4,5,64,64,64,1214
71,6,5,94,96,96,1932
72,6,5,94,96,96,1936
73,6,5,94,96,96,1937
74,6,5,94,96,96,1939
75,6,5,94,96,96,1943
76,6,5,94,96,96,1944
77,6,5,94,96,96,1945
78,7,5,110,112,112,2083
79,0,6,0,0,0,1
80,2,6,32,32,32,463
81,3,6,48,48,48,639
82,3,6,48,48,48,644
83,3,6,48,48,48,652
84,3,6,48,48,48,658
85,3,6,48,48,48,679
86,4,6,64,64,64,1115
87,4,6,64,64,64,1135
88,4,6,64,64,64,1136
89,4,6,64,64,64,1138
90,4,6,64,64,64,1140
91,4,6,64,64,64,1142
92,4,6,64,64,64,1149
93,4,6,64,64,64,1155
94,4,6,64,64,64,1189
95,4,6,64,64,64,1193
96,4,6,64,64,64,1195
97,4,6,64,64,64,1209
98,4,6,64,64,64,1211
99,6,6,94,96,96,1946
100,7,6,110,112,112,2079
101,7,6,110,112,112,2080
102,0,7,0,0,0,1
103,2,7,32,32,32,465
104,3,7,48,48,48,631
105,3,7,48,48,48,636
106,3,7,48,48,48,638
107,3,7,48,48,48,640
108,3,7,48,48,48,644
109,3,7,48,48,48,645
